title,company,experience,salary,location,description,industry,skills,scraped_at
"Consultant-Data Engineer, Azure+Python!",Genpact,Fresher,,Hyderabad,"Ready to shape the future of work\n\n\n\nAt Genpact, we don&rsquot just adapt to change&mdashwe drive it. AI and digital innovation are redefining industries, and we&rsquore leading the charge. Genpact&rsquos , our industry-first accelerator, is an example of how we&rsquore scaling advanced technology solutions to help global enterprises work smarter, grow faster, and transform at scale. From large-scale models to , our breakthrough solutions tackle companies most complex challenges.\n\n\n\nIf you thrive in a fast-moving, tech-driven environment, love solving real-world problems, and want to be part of a team that&rsquos shaping the future, this is your moment.\n\n\n\nGenpact (NYSE: G) is anadvanced technology services and solutions company that deliverslastingvalue for leading enterprisesglobally.Through ourdeep business knowledge, operational excellence, and cutting-edge solutions - we help companies across industries get ahead and stay ahead.Powered by curiosity, courage, and innovation,our teamsimplementdata, technology, and AItocreate tomorrow, today.Get to know us atand on,,, and.\n\n\n\n\n\n\n\n\n\n\n\n\nInviting applications for the role of Consultant-Data Engineer, Azure+Python!\n\n\n\n\n\n\nResponsibilities\n\n\n\n\n\nDesign and deploy scalable, highly available, and fault-tolerant AWS data processes using AWS data services (Glue, Lambda, Step, Redshift)\n\n\n\n\n\n\n\nMonitor and optimize the performance of cloud resources to ensure efficient utilization and cost-effectiveness.\n\n\n\n\n\n\n\nImplement and maintain security measures to protect data and systems within the AWS environment, including IAM policies, security groups, and encryption mechanisms.\n\n\n\n\n\n\n\nMigrate the application data from legacy databases to Cloud based solutions (Redshift, DynamoDB, etc) for high availability with low cost\n\n\n\n\n\n\n\nDevelop application programs using Big Data technologies like Apache Hadoop, Apache Spark, etc with appropriate cloud-based services like Amazon AWS, etc.\n\n\n\n\n\n\n\nBuild data pipelines by building ETL processes (Extract-Transform-Load)\n\n\n\n\n\n\n\nImplement backup, disaster recovery, and business continuity strategies for cloud-based applications and data.\n\n\n\n\n\n\n\nResponsible for analysing business and functional requirements which involves a review of existing system configurations and operating methodologies as well as understanding evolving business needs\n\n\n\n\n\n\n\nAnalyse requirements/User stories at the business meetings and strategize the impact of requirements on different platforms/applications, convert the business requirements into technical requirements\n\n\n\n\n\n\n\nParticipating in design reviews to provide input on functional requirements, product designs, schedules and/or potential problems\n\n\n\n\n\n\n\n\n\nUnderstand current application infrastructure and suggest Cloud based solutions which reduces operational cost, requires minimal maintenance but provides high availability with improved security\n\n\n\n\n\n\n\nPerform unit testing on the modified software to ensure that the new functionality is working as expected while existing functionalities continue to work in the same way\n\n\n\n\n\n\n\nCoordinate with release management, other supporting teams to deploy changes in production environment\n\n\n\n\n\n\n\n\nQualifications we seek in you!\n\n\n\nMinimum Qualifications\n\n\n\n\n\nExperience in designing, implementing data pipelines, build data applications, data migration on AWS\n\n\n\n\n\n\n\nStrong experience of implementing data lake using AWS services like Glue, Lambda, Step, Redshift\n\n\n\n\n\n\n\nExperience of Databricks will be added advantage\n\n\n\n\n\n\n\nStrong experience in Python and SQL\n\n\n\n\n\n\n\nStrong understanding of security principles and best practices for cloud-based environments.\n\n\n\n\n\n\n\nExperience with monitoring tools and implementing proactive measures to ensure system availability and performance.\n\n\n\n\n\n\n\nExcellent problem-solving skills and ability to troubleshoot complex issues in a distributed, cloud-based environment.\n\n\n\n\n\n\n\nStrong communication and collaboration skills to work effectively with cross-functional teams.\n\n\n\n\n\n\n\n\nPreferred Qualifications/ Skills\n\n\n\n\n\nMaster&rsquos Degree-Computer Science, Electronics, Electrical.\n\n\n\n\n\n\n\nAWS Data Engineering & Cloud certifications, Databricks certifications\n\n\n\n\n\n\n\nExperience of working with Oracle ERP\n\n\n\n\n\n\n\nExperience with multiple data integration technologies and cloud platforms\n\n\n\n\n\n\n\n\n\nKnowledge of Change & Incident Management process\n\n\n\n\n\n\n\n\nWhy join Genpact\n\n\n\n\n\nBe a transformation leader - Work at the cutting edge of AI, automation, and digital innovation\n\n\n\n\n\n\n\nMake an impact - Drive change for global enterprises and solve business challenges that matter\n\n\n\n\n\n\n\nAccelerate your career - Get hands-on experience, mentorship, and continuous learning opportunities\n\n\n\n\n\n\n\nWork with the best - Join 140,000+ bold thinkers and problem-solvers who push boundaries every day\n\n\n\n\n\n\n\nThrive in a values-driven culture - Our courage, curiosity, and incisiveness - built on a foundation of integrity and inclusion - allow your ideas to fuel progress\n\n\n\n\n\nCome join the tech shapers and growth makers at Genpact and take your career in the only direction that matters: Up.\n\n\n\nLet&rsquos build tomorrow together.\n\n\n\n\n\n\nGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values respect and integrity, customer focus, and innovation.\nFurthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.",IT/Computers - Hardware & Networking,"['Security Principles', 'Apache Hadoop', 'Data Migration', 'Apache Spark', 'Data Lake', 'Sql', 'Python', 'AWS', 'Etl']",2025-07-01 06:02:46
Databricks Data Engineer,Infosys Limited,Fresher,,"Bengaluru, India",Key Responsibilities:\nA day in the life of an Infoscion\nAs part of the Infosys delivery team your primary role would be to interface with the client for quality assurance issue resolution and ensuring high customer satisfaction\nYou will understand requirements create and review designs validate the architecture and ensure high levels of service offerings to clients in the technology domain\nYou will participate in project estimation provide inputs for solution delivery conduct technical risk planning perform code reviews and unit test plan reviews\nYou will lead and guide your teams towards developing optimized high quality code deliverables continual knowledge management and adherence to the organizational guidelines and processes\nYou would be a key contributor to building efficient programs systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you\nIf you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you\nTechnical Requirements:\nPrimary skills Azure data bricks\nAdditional Responsibilities:\nKnowledge of more than one technology\nBasics of Architecture and Design fundamentals\nKnowledge of Testing tools\nKnowledge of agile methodologies\nUnderstanding of Project life cycle activities on development and maintenance projects\nUnderstanding of one or more Estimation methodologies Knowledge of Quality processes\nBasics of business domain to understand the business requirements\nAnalytical abilities Strong Technical Skills Good communication skills\nGood understanding of the technology and domain\nAwareness of latest Ability to demonstrate a sound understanding of software quality assurance principles SOLID design principles and modelling methods\ntechnologies and trends\nExcellent problem solving analytical and debugging skills\nPreferred Skills:\nTechnology->Cloud Platform->Azure Development & Solution Architecting,IT/Computers - Software,"['Analytical Abilities', 'Estimation methodologies', 'Development Solution Architecting', 'Architecture and Design fundamentals', 'quality processes', 'SOLID design principles', 'Software quality assurance principles', 'Testing Tools', 'Agile Methodologies', 'Azure Data Bricks', 'cloud platform']",2025-07-01 06:02:50
Databricks Data Engineer,Infosys Limited,Fresher,,"Bengaluru, India",Key Responsibilities:\nA day in the life of an Infoscion\nAs part of the Infosys delivery team your primary role would be to interface with the client for quality assurance issue resolution and ensuring high customer satisfaction\nYou will understand requirements create and review designs validate the architecture and ensure high levels of service offerings to clients in the technology domain\nYou will participate in project estimation provide inputs for solution delivery conduct technical risk planning perform code reviews and unit test plan reviews\nYou will lead and guide your teams towards developing optimized high quality code deliverables continual knowledge management and adherence to the organizational guidelines and processes\nYou would be a key contributor to building efficient programs systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you\nIf you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you\nTechnical Requirements:\nPrimary skills Azure data bricks\nAdditional Responsibilities:\nKnowledge of more than one technology\nBasics of Architecture and Design fundamentals\nKnowledge of Testing tools\nKnowledge of agile methodologies\nUnderstanding of Project life cycle activities on development and maintenance projects\nUnderstanding of one or more Estimation methodologies Knowledge of Quality processes\nBasics of business domain to understand the business requirements\nAnalytical abilities Strong Technical Skills Good communication skills\nGood understanding of the technology and domain\nAwareness of latest Ability to demonstrate a sound understanding of software quality assurance principles SOLID design principles and modelling methods\ntechnologies and trends\nExcellent problem solving analytical and debugging skills\nPreferred Skills:\nTechnology->Cloud Platform->Azure Development & Solution Architecting,IT/Computers - Software,"['Analytical Abilities', 'Estimation methodologies', 'Development Solution Architecting', 'Architecture and Design fundamentals', 'quality processes', 'SOLID design principles', 'Software quality assurance principles', 'Testing Tools', 'Agile Methodologies', 'Azure Data Bricks', 'cloud platform']",2025-07-01 06:02:51
"Consultant, Data Engineer",Genpact,Fresher,,"Gurugram, Gurugram","Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose - the relentless pursuit of a world that works better for people - we serve and transform leading enterprises, including the Fortune Global 500, with our deep business and industry knowledge, digital operations services, and expertise in data, technology, and AI.\n\n\nInviting applications for the role of Consultant, (Data engineer) to support and improve a production environment consist of enterprise data load implemented on snowflake\n\nMust be fluent in the manipulation of data and ETL concepts\n\n\nDatabase development. Must be fluent in the manipulation of data, ETL concepts, and query optimization.\n\nResponsibilities\n\nData engineer to support and improve a production environment consist of enterprise data load implemented on snowflake.\n\nSound knowledge of data ingestion Stream-sets pipelines. Should be able to understand different stages along with its configuration.\n\nShould have good understanding of snowflake SQL (table, views etc.)\n\nMotivated self-learner with ability to learn new Data Analytics Platform components (snowflake, Snow SQL, AWS S3, API)\n\nExperience managing small teams within an IT support function.\n\nResolves problems that are diversified & complex and frequently involves issues that have not been encountered before.\n\nGood written and verbal communication skills\n\nReady to adapt to evolving technologies with simultaneous support to existing frameworks.\n\nPrioritize, plan, and handle multiple tasks effectively.\n\n\nQualifications we seek in you!\n\nMinimum Qualifications\n\n.Experience with B.Tech/B.E/ MCA\n\n.Excellent written and verbal communication skills\n\nPreferred Qualifications/ Skills\n\n.Good understanding of snowflake SQL (table, views etc.)\n\n.Good knowledge of data ingestion Stream-sets pipelines. Should be able to understand different stages along with its configuration.\n\n\nGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values respect and integrity, customer focus, and innovation. For more information, visit . Follow us on , , , and .",IT/Computers - Hardware & Networking,"['Data ingestion', 'snowflake', 'Stream-sets', 'Snow SQL', 'ETL concepts', 'Api', 'Sql', 'Aws S3']",2025-07-01 06:02:53
Lead Consultant – Data Engineer-Talend/ETL,Genpact,2-5 Years,,Hyderabad,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose - the relentless pursuit of a world that works better for people - we serve and transform leading enterprises, including the Fortune Global 500, with our deep business and industry knowledge, digital operations services, and expertise in data, technology, and AI.\nInviting applications for the role of Lead Consultant - Data Engineer-Talend/SQL!\n\n\n\n\nExtensive Talend Implementation and Architecting experience including latest version\n. Strong experience in Talend Development, enhancement and Migration.\n. Excellent understanding of tool functions, limitations and hidden features\n. Talend server installation and configuring/ administration, added advantage.\n. Understanding of relational database structures, theories, principles, and practices\n. Strong SQL reporting skills with the ability to create SQL views and write SQL queries to build custom datasets for reporting or analysis.\n. Migration and Upgrade experience is added advantage.\n. Proven track record of performance tuning, handling data issues\n. Good knowledge in Banking & Financial domain is a great plus.\n. Strong communication and presentation skill\n. Strong problem-solving attitude\n. Excellent analytical, problem solving and debugging skills, with strong ability to quickly learn and comprehend business processes and problems in order to effectively develop technical solutions to their requirements\n. Overall IT experience\n. Talend / other competing ETL tools experience\n. At least 2-3 medium to large scale enterprise level Talend Implementatio\n. Deep experience with the design and development of ETL solutions.\n\n. Responsibilities\n. Closely work with Customers on their requirements and convert into solutions\n. Lead the team and guide and work accordingly\n. Design end to end solution architecture and guide development teams in complex requirements\n. Actively participate in knowledge augmentation initiatives\n. Should be actively responsive to customers and mitigate issues such as product feature deficiencies and other objections\n. Upgrade and Install Talend Software Plan and execute patches, minor and major release upgrades for Talend Products\n. Create/manage Talend Projects/Talend metadata in various environments to facilitate development and testing. maintain project and object level security consistent with project requirements in consultation with senior administrator, architects and project teams.\n. Implement Change management processes to migrate Talend code between QA, UAT and Production environments\n. Mange ETL&rsquos refreshes and monitoring\n. Work closely with domains data architects and suggest configuration and process changes to improve the reliability, scalability and supportability of Talend environment\n. Maintain Scripts and documentation related to Product suite\n. Maintain Data recovery and Backup\n\nQualifications we seek in you!\nMinimum qualifications\nB. Tech or B.E or MCA\n\n\nPreferred qualifications\nStrong Analytical skill\n. Strong Excel skills\n. Good communication skills & highly proactive in approach\n. Ability to manage & prioritize deliverables\n. Ability to be learn and apply new processes and tools\n. Closely work with Customers on their requirements and convert into solutions\n. Lead the team and guide and work accordingly\n. Design end to end solution architecture and guide development teams in complex requirements\n. Actively participate in knowledge augmentation initiatives\n. Should be actively responsive to customers and mitigate issues such as product feature deficiencies and other objections\n. Upgrade and Install Talend Software Plan and execute patches, minor and major release upgrades for Talend Products\n. Create/manage Talend Projects/Talend metadata in various environments to facilitate development and testing. Maintain Project and object level security consistent with project requirements in consultation with senior administrator, architects and project teams.\n. Implement Change management processes to migrate Talend projects and objects between QA, UAT and Production environments\n. Work closely with domains data architects and suggest configuration and process changes to improve the reliability ,scalability and supportability of Talend environment\n. Maintain Scripts and documentation related to Product suite\n. Maintain Data recovery and Backup\n\nGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values respect and integrity, customer focus, and innovation. Get to know us at and on LinkedIn, X, YouTube, and Facebook.\nFurthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.",IT/Computers - Hardware & Networking,"['Talend Development', 'Relational Database Structures', 'Talend Server Installation', 'Sql Reporting', 'Talend', 'Sql', 'Etl', 'Performance Tuning']",2025-07-01 06:02:54
Data Engineer,Sbicap Securities,2-3 Years,,Mumbai,"Role & responsibilities\nAnalyse and organize raw data\nBuild data systems and pipelines\nCombine raw information from different sources\nExplore ways to enhance data quality and reliability\nIdentify opportunities for data acquisition\nDevelop, implement and optimize stored procedures and functions using T-SQL\nAnalyse existing SQL queries for performance improvements\nDevelop procedures and scripts for data migration\nProvide timely scheduled management reporting\nResearch required data\nPreferred candidate profile\n2-3 years of experience as a SQL Developer or similar role\nExcellent understanding of Microsoft SQL Server\nExcellent understanding of T-SQL programming\nBS degree in Computer Science, Engineering or a related subject\nSense of ownership and pride in your performance and its impact on company's success\nCritical thinker and problem-solving skills\nTeam player\nGood time-management skills\nGreat interpersonal and communication skills\nBonus points if you have:\nExperience with Alteryx\nExperience with Cloud based technologies such as Microsoft Azure and Salesforce\nExperience with data driven programming (R, Python/Pandas, SAS, etc.)","Financial Services, Banking","['T-SQL programming', 'Salesforce', 'data driven programming', 'Sql', 'Alteryx', 'Microsoft Azure']",2025-07-01 06:02:55
Data Engineer,Nr Consulting,8-13 Years,,Chennai,"Consultant Data Engineer\nTools & Technology: Snowflake, Snowsql, AWS, DBT, Snowpark, Airflow, DWH, Unix, SQL, Shell Scripting, Pyspark, GIT, Visual Studio, Service Now.\nDuties and Responsibilities\nAct as Consultant Data Engineer\nUnderstand business requirement and designing, developing & maintaining scalable automated data pipelines & ETL processes to ensure efficient data processing and storage\nCreate a robust, extensible architecture to meet the client/business requirements\nSnowflake objects with integration with AWS services and DBT\nInvolved in different types of data ingestion pipelines as per requirements\nDevelopment in DBT (Data Build Tool) for data transformation as per the requirements\nWorking on multiple AWS services integration with Snowflake\nWorking with integration of structured data & Semi-Structured data sets\nWork on Performance Tuning and cost optimization\nWork on implementing CDC or SCD type 2\nDesign and build solutions for near real-time stream as well as batch processing\nImplement best practices for data management, data quality, and data governance\nResponsible for data collection, data cleaning & pre-processing using Snowflake and DBT\nInvestigate production issues and fine-tune our data pipelines\nIdentify, design, and implement internal process improvements: automating manual processes, optimizing data delivery\nCoordinate and support software developers, database architects, data analysts and data scientists on data initiatives\nOrchestrate the pipeline using Airflow\nSuggest improvements to processes, products and services\nInteract with users, management, and technical personnel to clarify business issues, identify problems, and suggest changes/solutions to business and developers\nCreate technical documentation on confluence to aim knowledge sharing\nAssociate Data Engineer\nTools & Technology: Snowflake, DBT, AWS, Airflow, ETL, Datawarehouse, Shell Scripting, SQL, Git, Confluence, Python\nDuties and Responsibilities\nAct as offshore Data engineer and enhancement & testing\nDesign and build solutions for near real-time stream processing as well as batch processing\nDevelopment in snowflake objects with their unique features implemented\nImplementing data integration and transformation workflows using DBT\nIntegration with AWS services with Snowflake\nParticipate in implementation plan, respond to production issues\nResponsible for data collection, data cleaning & pre-processing\nExperience in developing UDF, Snowflake Procedures, Streams, and Tasks\nInvolved in troubleshooting customer data issues, manual load if any data missed, data duplication checking and handling with RCA\nInvestigate production job failures with RCA investigation\nDevelopment of ETL processes and data integration solutions\nUnderstanding the business needs of the client and provide technical solution\nMonitoring the overall functioning of processes, identifying improvement areas and implementing with scripting\nHandling major outages effectively along with effective communication to business, users & development partners\nDefine and create Run Book entries and knowledge articles based on incidents experienced in production\nAssociate Engineer\nTools and Technology: UNIX, ORACLE, Shell Scripting, ETL, Hadoop, Spark, Sqoop, Hive, Control-m, Techtia, SQL, Jira, HDFS, Snowflake, DBT, AWS\nDuties and Responsibilities\nWorked as a Senior Production/Application Support Engineer\nWorked as Production support member for loading, processing and reporting of files and generating reports\nMonitoring multiple batches, jobs, processes and analyzing issues related to job failures and handling FTP failure, connectivity issues of batch/job failures\nPerforming data analysis on files and generating/sending files to destination server depending on functionality of job\nCreating shell scripts for automating daily tasks or as requested by service owner\nInvolved in tuning jobs to improve performance and performing daily checks\nCoordinating with Middleware, DWH, CRM and other teams in case of any CRQ issues\nMonitoring overall functioning of processes, identifying improvement areas and implementing with scripting\nRaising PBI after approval from service owner\nInvolved in performance improvement automation activities to decrease manual workload\nData ingestion from RDBMS system to HDFS/Hive through SQOOP\nUnderstanding customer problems and providing appropriate technical solutions\nHandling major outages effectively with proper communication to business, users & development partners\nCoordinating with client, on-site personnel and joining bridge calls for any issues\nHandling daily issues based on application and job performance",Consulting,"['snowflake', 'dbt', 'airflow', 'Sql', 'aws', 'shell scripting']",2025-07-01 06:02:56
Data Engineer,Nr Consulting,4-9 Years,,Bengaluru,"Position Overview:\nWe are seeking a highly skilled and experienced Senior Data Engineer to enhance our data processing capabilities and support our innovative generative AI projects. This role is crucial for someone with a deep understanding of both traditional and modern data storage systems, including proficiency in graph and vector databases, SQL and NoSQL databases, as well as experience with unstructured data sources. The ideal candidate will have a proven track record of connecting varied data sources and building knowledge graphs to facilitate information discovery. This role involves collaborating with cross-functional teams to design and implement scalable data architectures that drive insights and decision-making.\nKey Responsibilities:\nDesign and implement robust data pipelines for ingesting and processing data from diverse sources, including structured, semi-structured, and unstructured data.\nDevelop and maintain scalable and efficient data models and architectures using graph and vector databases, as well as SQL and NoSQL technologies.\nLeverage expertise in graph databases to build knowledge graphs that enhance information discovery and decision-making processes.\nIntegrate various data sources and systems using ETL/ELT processes, ensuring data quality and integrity.\nCollaborate with data scientists, analysts, and other stakeholders to understand data needs and deliver solutions that support data analysis and machine learning projects.\nOptimize data storage, indexing, and query performance to support real-time analytics.\nStay abreast of emerging technologies and methodologies in data engineering, evaluating and adopting them as appropriate to improve our data infrastructure.\nEnsure compliance with data governance and security policies.\nQualifications:\nBachelors or Master's degree in Computer Science, Engineering, Data Science, or a related field.\nMinimum of 5 years of experience in data engineering, with a strong focus on graph and vector databases, SQL/NoSQL databases, and unstructured data sources.\nDemonstrated experience in building knowledge graphs and connecting varied data sources for enhanced information discovery.\nProficient in data modeling, ETL/ELT processes, and data warehousing principles.\nStrong programming skills in Python, Java, Scala, or similar languages.\nExperience with cloud services (AWS, Azure, GCP) and understanding of their data services.\nExcellent problem-solving abilities and strong analytical skills.\nEffective communication and collaboration skills, with the ability to work across different teams and disciplines.",Consulting,"['vector databases', 'knowledge graphs', 'graph databases', 'Sql', 'Nosql', 'Etl']",2025-07-01 06:02:58
Data Engineer,Vimerse Infotech,4-8 Years,,Pune,"Design, develop, maintain efficient and scalable solutions usingPySpark\nEnsure data quality and integrity by implementing robust testing, validation and cleansing processes\nIntegrate data from various sources, including databases, APIs, external datasets etc.\nOptimize and tune PySpark jobs for performance and reliability\nDocument data engineering processes, workflows and best practices\nStrong understanding of databases, data modelling, and ETL tools and processes\nString programming skills in python and proficiency with PySpark, SQL\nExperience with relational databases, Spark, AWS, Python skill\nExcellent communication and collaboration skills\nKey Responsibilities:\nDesign and Development:Create, develop, and maintain robust solutions using PySpark to handle large-scale data processing.\nData Quality Assurance:Implement thorough testing, validation, and cleansing processes to ensure data quality and integrity.\nData Integration:Integrate data from diverse sources including databases, APIs, and external datasets to create unified data solutions.\nPerformance Optimization:Optimize and tune PySpark jobs for maximum performance and reliability.\nDocumentation:Document data engineering processes, workflows, and best practices to enhance team collaboration and knowledge sharing.\nDatabase Management:Utilize strong understanding of databases, data modeling, and ETL processes to support data architecture needs.\nProgramming Expertise:Leverage programming skills in Python and proficiency with SQL and PySpark for effective data manipulation and analysis.\nCollaboration:Work closely with cross-functional teams to understand data requirements and deliver solutions that meet business needs.",Software,"['Data Processing', 'Data Manipulation', 'Data Modeling', 'Database Management', 'Programming', 'Data Quality', 'Sql', 'Python', 'Data Architecture', 'data engineering']",2025-07-01 06:02:59
Data Engineer,Vimerse Infotech,4-8 Years,,Pune,"Design, develop, maintain efficient and scalable solutions usingPySpark\nEnsure data quality and integrity by implementing robust testing, validation and cleansing processes\nIntegrate data from various sources, including databases, APIs, external datasets etc.\nOptimize and tune PySpark jobs for performance and reliability\nDocument data engineering processes, workflows and best practices\nStrong understanding of databases, data modelling, and ETL tools and processes\nString programming skills in python and proficiency with PySpark, SQL\nExperience with relational databases, Spark, AWS, Python skill\nExcellent communication and collaboration skills\nKey Responsibilities:\nDesign and Development:Create, develop, and maintain robust solutions using PySpark to handle large-scale data processing.\nData Quality Assurance:Implement thorough testing, validation, and cleansing processes to ensure data quality and integrity.\nData Integration:Integrate data from diverse sources including databases, APIs, and external datasets to create unified data solutions.\nPerformance Optimization:Optimize and tune PySpark jobs for maximum performance and reliability.\nDocumentation:Document data engineering processes, workflows, and best practices to enhance team collaboration and knowledge sharing.\nDatabase Management:Utilize strong understanding of databases, data modeling, and ETL processes to support data architecture needs.\nProgramming Expertise:Leverage programming skills in Python and proficiency with SQL and PySpark for effective data manipulation and analysis.\nCollaboration:Work closely with cross-functional teams to understand data requirements and deliver solutions that meet business needs.",Software,"['Data Processing', 'Data Manipulation', 'Data Modeling', 'Database Management', 'Programming', 'Data Quality', 'Sql', 'Python', 'Data Architecture', 'data engineering']",2025-07-01 06:03:00
