title,company,experience,salary,location,description,industry,skills,scraped_at
Machine Learning Engineer,Infosys Limited,6-8 Years,,"Bengaluru, India",Job Description:\nWho are we\nInfosys NYSE INFY is a global leader in consulting technology and outsourcing solutions with annual revenues of over 15\n64 B as of 2022\nWe enable clients in more than 50 countries to stay a step ahead of emerging business trends and outperform the competition\nInfosys Recognized as one of the 2022 World s Most Ethical Companies for the Second Consecutive Year by Ethisphere\nWhat are we looking for Lead Machine Learning Engineer\nWe are looking for smart self driven high energy people with top notch communication skills intellectual curiosity and passion for technology in Machine Learning Space\nOur analysts have a blend of in depth domain expertise in one or more areas Retail CPG Logistics strong business and technical acumen along with excellent soft skills\nWhat do we require\nTo work with clients to understand the issues they face diagnose problems design solutions and facilitate solution deployment on Azure ML\nOne can be an individual contributor or lead small teams depending on the project\nYou will be pivotal to understanding the requirement problem definition and discovery of the overall solution\nOne will also have the opportunity to shape value adding consulting solutions for clients by connecting various functions of cloud components\nIndustry knowledge Knows basics of machine learning is aware of cloud services Azure services has a deep understanding of coding practices knows how to guide teams on debugging the issues can connect the dots to arrivie at a solution and is very good at presentation of the ideas thoughts and solutions\nKey Responsibilities:\nTechnical knowledge has expertise in cloud technologies specifically MS Azure and services with hands on coding to\nExpertise in Object Oriented Python Programming with 4 5 years experience\nDevOps Working knowledge with implementation experience 1 or 2 projects a minimum\nHands On MS Azure Cloud knowledge\nUnderstand and take requirements on Operationalization of ML Models from Data Scientist\nHelp team with ML Pipelines from creation to execution\nList Azure services required for deployment Azure Data bricks and Azure DevOps Setup\nAssist team to coding standards flake8 etc\nGuide team to debug on issues with pipeline failures\nEngage with Business Stakeholders with status update on progress of development and issue fix\nAutomation Technology and Process Improvement for the deployed projects\nSetup Standards related to Coding Pipelines and Documentation\nAdhere to KPI SLA for Pipeline Run Execution\nResearch on new topics services and enhancements in Cloud Technologies\nTechnical Requirements:\nEducation and Experience\nOverall 6 to 8 years of experience in Data driven software engineering with 3 5 years of experience designing building and deploying enterprise AI or ML applications with at least 2 years of experience implementing full lifecycle ML automation using MLOps scalable development to deployment of complex data science workflows\nBachelors or Master s degree in Computer Science Engineering or equivalent\nDomain experience in Retail CPG and Logistics etc\nAzure Certified DP100 AZ AI900\nAdditional Responsibilities:\nDomain Technical Tools Knowledge\nObject oriented programming coding standards architecture design patterns Config management Package Management Logging documentation\nExperience in Test Driven Development and experience in using Pytest frameworks git version control Rest APIs\nAzure ML best practices in environment management run time configurations Azure ML Databricks clusters alerts\nExperience designing and implementing ML Systems pipelines MLOps practices and tools such a MLFlow Kubernetes etc\nExposure to event driven orchestration Online Model deployment\nContribute towards establishing best practices in MLOps Systems development\nProficiency with data analysis tools e\ng\nSQL R Python\nHigh level understanding of database concepts reporting Data Science concepts\nHands on experience in working with client IT Business teams in gathering business requirement and converting into requirement for development team\nExperience in managing client relationship and developing business cases for opportunities\nAzure AZ 900 Certification with Azure Architecture understanding is a plus\nPreferred Skills:\nTechnology->Data Science->Machine Learning,IT/Computers - Software,"['Object Oriented Python Programming', 'MLFlow', 'R', 'Kubernetes', 'Sql', 'Ms Azure', 'Devops', 'Azure Data Bricks', 'MLops', 'Rest Apis', 'Pytest', 'Azure DevOps', 'Azure ML']",2025-06-12 15:33:38
Machine Learning Engineer Expert,Infosys Limited,6-8 Years,,"Bengaluru, India",Job Description:\nWho are we\nInfosys NYSE INFY is a global leader in consulting technology and outsourcing solutions with annual revenues of over 15\n64 B as of 2022\nWe enable clients in more than 50 countries to stay a step ahead of emerging business trends and outperform the competition\nInfosys Recognized as one of the 2022 World s Most Ethical Companies for the Second Consecutive Year by Ethisphere\nWhat are we looking for Lead Machine Learning Engineer\nWe are looking for smart self driven high energy people with top notch communication skills intellectual curiosity and passion for technology in Machine Learning Space\nOur analysts have a blend of in depth domain expertise in one or more areas Retail CPG Logistics strong business and technical acumen along with excellent soft skills\nWhat do we require\nTo work with clients to understand the issues they face diagnose problems design solutions and facilitate solution deployment on Azure ML\nOne can be an individual contributor or lead small teams depending on the project\nYou will be pivotal to understanding the requirement problem definition and discovery of the overall solution\nOne will also have the opportunity to shape value adding consulting solutions for clients by connecting various functions of cloud components\nIndustry knowledge Knows basics of machine learning is aware of cloud services Azure services has a deep understanding of coding practices knows how to guide teams on debugging the issues can connect the dots to arrivie at a solution and is very good at presentation of the ideas thoughts and solutions\nKey Responsibilities:\nTechnical knowledge has expertise in cloud technologies specifically MS Azure and services with hands on coding to\nExpertise in Object Oriented Python Programming with 6 8 years experience\nDevOps Working knowledge with implementation experience 1 or 2 projects a minimum\nHands On MS Azure Cloud knowledge\nUnderstand and take requirements on Operationalization of ML Models from Data Scientist\nHelp team with ML Pipelines from creation to execution\nList Azure services required for deployment Azure Data bricks and Azure DevOps Setup\nAssist team to coding standards flake8 etc\nGuide team to debug on issues with pipeline failures\nEngage with Business Stakeholders with status update on progress of development and issue fix\nAutomation Technology and Process Improvement for the deployed projects\nSetup Standards related to Coding Pipelines and Documentation\nAdhere to KPI SLA for Pipeline Run Execution\nResearch on new topics services and enhancements in Cloud Technologies\nDomain Technical Tools Knowledge\nObject oriented programming coding standards architecture design patterns Config management Package Management Logging documentation\nExperience in Test Driven Development and experience in using Pytest frameworks git version control Rest APIs\nPython programming with OOPs concept SQL XML YAML Bash JSON Pydantic models Class based frameworks Dependency injections\nFastAPI Flask Streamlit Python Azure API management API Gateways Traffic Manager Load Balancers\nNginx Uvicorn Gunicorn\nAzure ML best practices in environment management run time configurations Azure ML Databricks clusters alerts\nExperience designing and implementing ML Systems pipelines MLOps practices and tools such a MLFlow Kubernetes etc\nExposure to event driven orchestration Online Model deployment\nContribute towards establishing best practices in MLOps Systems development\nProficiency with data analysis tools e\ng\nSQL R Python\nHigh level understanding of database concepts reporting Data Science concepts\nHands on experience in working with client IT Business teams in gathering business requirement and converting into requirement for development team\nExperience in managing client relationship and developing business cases for opportunities\nAzure AZ 900 Certification with Azure Architect\nTechnical Requirements:\nPrimary skills Technology OpenSystem Python OpenSystem\nResponsible for successful delivery of MLOps solutions and services in client consulting environments\nDefine key business problems to be solved formulate high level solution approaches and identify data to solve those problems develop analyze draw conclusions and present to client\nAssist clients with operationalization metrics to track performance of ML Models\nAgile trained to manage team effort and track through JIRA\nHigh Impact Communication Assesses the target audience need prepares and practices a logical flow answers audience questions appropriately and sticks to timeline\nAdditional Responsibilities:\nGood knowledge on software configuration management systems\nStrong business acumen strategy and cross industry thought leadership\nAwareness of latest technologies and Industry trends\nEducation and Experience\nOverall 6 to 8 years of experience in Data driven software engineering with 3 5 years of experience designing building and deploying enterprise AI or ML applications with at least 2 years of experience implementing full lifecycle ML automation using MLOps scalable development to deployment of complex data science workflows\nBachelors or Master s degree in Computer Science Engineering or equivalent\nDomain experience in Retail CPG and Logistics etc\nAzure Certified DP100 AZ AI900\nLogical thinking and problem solving skills along with an ability to collaborate\nTwo or three industry domain knowledge\nUnderstanding of the financial processes for various types of projects and the various pricing models available\nClient Interfacing skills\nKnowledge of SDLC and agile methodologies\nProject and Team management\nPreferred Skills:\nTechnology->OpenSystem->Python - OpenSystem->Python,IT/Computers - Software,"['Pydantic models', 'ML Pipelines', 'Streamlit', 'API Gateways', 'Object Oriented Python Programming', 'Traffic Manager', 'Azure API management', 'Data analysis tools', 'MLFlow', 'Gunicorn', 'Uvicorn', 'Azure DevOps', 'Sql', 'Ms Azure', 'Load Balancers', 'Devops', 'Nginx', 'Rest Apis', 'MLops', 'Xml', 'Git', 'Flask', 'Azure ML', 'Yaml', 'Json', 'Azure Data Bricks', 'FastAPI', 'Pytest', 'Bash', 'Kubernetes', 'Test Driven Development']",2025-06-12 15:33:43
Machine Learning Engineer Expert,Infosys Limited,6-8 Years,,"Bengaluru, India",Job Description:\nWho are we\nInfosys NYSE INFY is a global leader in consulting technology and outsourcing solutions with annual revenues of over 15\n64 B as of 2022\nWe enable clients in more than 50 countries to stay a step ahead of emerging business trends and outperform the competition\nInfosys Recognized as one of the 2022 World s Most Ethical Companies for the Second Consecutive Year by Ethisphere\nWhat are we looking for Lead Machine Learning Engineer\nWe are looking for smart self driven high energy people with top notch communication skills intellectual curiosity and passion for technology in Machine Learning Space\nOur analysts have a blend of in depth domain expertise in one or more areas Retail CPG Logistics strong business and technical acumen along with excellent soft skills\nWhat do we require\nTo work with clients to understand the issues they face diagnose problems design solutions and facilitate solution deployment on Azure ML\nOne can be an individual contributor or lead small teams depending on the project\nYou will be pivotal to understanding the requirement problem definition and discovery of the overall solution\nOne will also have the opportunity to shape value adding consulting solutions for clients by connecting various functions of cloud components\nIndustry knowledge Knows basics of machine learning is aware of cloud services Azure services has a deep understanding of coding practices knows how to guide teams on debugging the issues can connect the dots to arrivie at a solution and is very good at presentation of the ideas thoughts and solutions\nKey Responsibilities:\nTechnical knowledge has expertise in cloud technologies specifically MS Azure and services with hands on coding to\nExpertise in Object Oriented Python Programming with 6 8 years experience\nDevOps Working knowledge with implementation experience 1 or 2 projects a minimum\nHands On MS Azure Cloud knowledge\nUnderstand and take requirements on Operationalization of ML Models from Data Scientist\nHelp team with ML Pipelines from creation to execution\nList Azure services required for deployment Azure Data bricks and Azure DevOps Setup\nAssist team to coding standards flake8 etc\nGuide team to debug on issues with pipeline failures\nEngage with Business Stakeholders with status update on progress of development and issue fix\nAutomation Technology and Process Improvement for the deployed projects\nSetup Standards related to Coding Pipelines and Documentation\nAdhere to KPI SLA for Pipeline Run Execution\nResearch on new topics services and enhancements in Cloud Technologies\nDomain Technical Tools Knowledge\nObject oriented programming coding standards architecture design patterns Config management Package Management Logging documentation\nExperience in Test Driven Development and experience in using Pytest frameworks git version control Rest APIs\nPython programming with OOPs concept SQL XML YAML Bash JSON Pydantic models Class based frameworks Dependency injections\nFastAPI Flask Streamlit Python Azure API management API Gateways Traffic Manager Load Balancers\nNginx Uvicorn Gunicorn\nAzure ML best practices in environment management run time configurations Azure ML Databricks clusters alerts\nExperience designing and implementing ML Systems pipelines MLOps practices and tools such a MLFlow Kubernetes etc\nExposure to event driven orchestration Online Model deployment\nContribute towards establishing best practices in MLOps Systems development\nProficiency with data analysis tools e\ng\nSQL R Python\nHigh level understanding of database concepts reporting Data Science concepts\nHands on experience in working with client IT Business teams in gathering business requirement and converting into requirement for development team\nExperience in managing client relationship and developing business cases for opportunities\nAzure AZ 900 Certification with Azure Architect\nTechnical Requirements:\nPrimary skills Technology OpenSystem Python OpenSystem\nResponsible for successful delivery of MLOps solutions and services in client consulting environments\nDefine key business problems to be solved formulate high level solution approaches and identify data to solve those problems develop analyze draw conclusions and present to client\nAssist clients with operationalization metrics to track performance of ML Models\nAgile trained to manage team effort and track through JIRA\nHigh Impact Communication Assesses the target audience need prepares and practices a logical flow answers audience questions appropriately and sticks to timeline\nAdditional Responsibilities:\nGood knowledge on software configuration management systems\nStrong business acumen strategy and cross industry thought leadership\nAwareness of latest technologies and Industry trends\nEducation and Experience\nOverall 6 to 8 years of experience in Data driven software engineering with 3 5 years of experience designing building and deploying enterprise AI or ML applications with at least 2 years of experience implementing full lifecycle ML automation using MLOps scalable development to deployment of complex data science workflows\nBachelors or Master s degree in Computer Science Engineering or equivalent\nDomain experience in Retail CPG and Logistics etc\nAzure Certified DP100 AZ AI900\nLogical thinking and problem solving skills along with an ability to collaborate\nTwo or three industry domain knowledge\nUnderstanding of the financial processes for various types of projects and the various pricing models available\nClient Interfacing skills\nKnowledge of SDLC and agile methodologies\nProject and Team management\nPreferred Skills:\nTechnology->OpenSystem->Python - OpenSystem->Python,IT/Computers - Software,"['Pydantic models', 'ML Pipelines', 'Streamlit', 'API Gateways', 'Object Oriented Python Programming', 'Traffic Manager', 'Azure API management', 'Data analysis tools', 'MLFlow', 'Gunicorn', 'Uvicorn', 'Azure DevOps', 'Sql', 'Ms Azure', 'Load Balancers', 'Devops', 'Nginx', 'Rest Apis', 'MLops', 'Xml', 'Git', 'Flask', 'Azure ML', 'Yaml', 'Json', 'Azure Data Bricks', 'FastAPI', 'Pytest', 'Bash', 'Kubernetes', 'Test Driven Development']",2025-06-12 15:33:44
Machine Learning Engineer,Paulwin George (Proprietor of Angel And Genie),4-8 Years,,"Gurugram, Bengaluru","Job Title: Machine Learning Engineer (Azure + Databricks)\nLocation: Navi Mumbai, Bengaluru, Pune, Gurugram, Chandigarh\nNotice Period: Immediate or serving notice period\nRelevant Experience: 3+ Years\nPrimary Skills:\nPython DS | DE | ETL (Must)\nAdvanced Python (Must)\nMachine Learning (Must)\nDeep Learning (Understanding/Basic)\nNatural Language Processing (NLP) (Understanding/Basic)\nComputer Vision (Understanding/Basic)\nPython for Image Processing (Understanding/Basic)\nML Frameworks (Must)\nAzure Cloud (Must)\nDatabricks (Must)\nAgile Methodology (Good to have)\nDevOps (Basic/Understanding)\nJob Summary:\nWe are seeking a talented and accomplished Machine Learning Engineer with expertise in Azure and\nDatabricks. The ideal candidate will have a strong foundation in machine learning, deep learning, and\nartificial intelligence, with a proven track record of developing and deploying models in real-world\napplications. This role requires hands-on experience with machine learning frameworks, cloud\nplatforms, and DevOps practices. You will lead machine learning projects and mentor other engineers,\ncontributing to Bizmetric's growth in AI and ML fields.\nKey Responsibilities:\nLead Machine Learning Projects:\nTake full ownership of machine learning projects from start to finish, including problem\ndefinition, data collection, model development, and deployment.\nAlgorithm Development:\nDevelop and optimize machine learning algorithms using techniques such as deep learning,\nnatural language processing, computer vision, and reinforcement learning.\nData Preparation:\nPre-process and transform large datasets to create high-quality training data for model\ndevelopment.\nModel Evaluation:\nImplement testing and validation procedures to ensure the performance, accuracy, and\nscalability of machine learning models.\nBIZ-METRIC\nDeployment and Integration:\nCollaborate with cross-functional teams to deploy machine learning models into production\nenvironments and integrate them with existing systems.\nCollaboration with DevOps Team:\nWork closely with the DevOps team, having a basic understanding of version control systems\n(Git), CI/CD pipelines, and tools like Terraform.\nRequired Skills:\nPython DS | DE | ETL: Minimum of 2 years of hands-on experience.\nAdvanced Python: Proven hands-on experience in advanced Python coding and libraries.\nMachine Learning: Experience in developing machine learning models and deploying them in\nproduction.\nML Frameworks: Familiarity with tools like Scikit-learn, TensorFlow, or PyTorch.\nAzure Cloud: Strong experience working on Azure cloud services and tools.\nDatabricks: Experience with Databricks for big data processing and machine learning pipelines.\nDevOps Knowledge: Basic understanding of DevOps practices, CI/CD pipelines, and version\ncontrol.\nDeep Learning: Understanding of deep learning principles and techniques.\nNLP & Computer Vision: Basic understanding of Natural Language Processing (NLP) and\nComputer Vision.\nPython for Image Processing: Experience or understanding of image processing libraries like\nOpenCV.\nPreferred Skills:\nAgile Methodology: Familiarity with Agile frameworks and practices.\nExperience working in a collaborative, team-based environment with cross-functional teams.\nWhy Join Us\nLearning & Certification Opportunities to enhance your professional growth.\nComprehensive Medical Coverage and Life Insurance for your well-being.\nFlexible Work Environment with a 5-day work week.\nBe part of a fun, collaborative, and innovative workplace culture.",Software,"['ML Frameworks', 'Machine Learning Engineer', 'Python', 'Etl']",2025-06-12 15:33:46
Lead Machine Learning Engineer - AI,Avalara Technologies,6-11 Years,,Pune,"We are looking for accomplished Machine Learning Engineers with a background in software development and a deep enthusiasm for solving complex problems. You will lead a dynamic team dedicated to designing and implementing a large language model framework to power diverse applications across Avalara. Your responsibilities will span the entire development lifecycle, including conceptualization, prototyping, development, and delivery of the LLM platform features. You will build core agent infrastructure A2A orchestration and MCP-driven tool discovery so teams can launch secure, scalable agent workflows. You will be reporting to Senior Manager, ML Engineering.\nYour responsibilities will include:\nBuild on top of the foundational framework for supporting Large Language Model Applications at Avalara\nExperience with LLMs - like GPT, Claude, LLama and other Bedrock models\nLeverage best practices in software development, including Continuous Integration/Continuous Deployment (CI/CD) along with appropriate functional and unit testing in place.\nDrive innovation by researching and applying the latest technologies and methodologies in machine learning and software development.\nWrite, review, and maintain high-quality code that meets industry standards, contributing to the projects technical expertise.\nLead code review sessions, ensuring good code quality and documentation.\nMentor junior engineers, promoting a culture of collaboration and Engineering expertise.\nProficiency in developing and debugging software with a preference for Python, though familiarity with additional programming languages is valued and encouraged.\nWhat you'll Need to be Successful\n6+ years of experience building Machine Learning models and deploying them in production environments as part of creating solutions to complex customer problems.\nProficiency working in cloud computing environments (AWS, Azure, GCP), Machine Learning frameworks, and software development best practices.\nDemonstrated experience staying current with breakthroughs in AI/ML, with a focus on GenAI.\nExperience with design patterns and data structures.\nTechnologies you will work with:\nPython, LLMs, Agents, A2A, MCP, MLFlow, Docker, Kubernetes, Terraform, AWS, GitLab, Postgres, Prometheus, and Grafana",Cloud Management,"['Large Language Models (LLMs)', 'Cloud Platforms (AWS/Azure/GCP)', 'ML Frameworks & MLFlow', 'CI/CD & DevOps', 'Python Programming']",2025-06-12 15:33:47
Senior Machine Learning Engineer - NLP,Avalara Technologies,5-8 Years,,Pune,"What You'll Do\nWe are looking for experienced Machine Learning Engineers with a background in software development and a deep enthusiasm for solving complex problems. You will lead a dynamic team dedicated to designing and implementing a large language model framework to power diverse applications across Avalara. Your responsibilities will span the entire development lifecycle, including conceptualization, prototyping and delivery of the LLM platform features.\nYou will have a blend of technical skills in the fields of AI & Machine Learning especially with LLMs and a deep-seated understanding of software development practices where you'll work with a team to ensure our systems are scalable, performant and accurate. You will be reporting to Senior Manager, AI/ML.\nWhat Your Responsibilities Will Be\nWe are looking for engineers who can think quick and have a background in implementation. Your responsibilities will include:\nBuild on top of the foundational framework for supporting Large Language Model Applications at Avalara\nExperience with LLMs - like GPT, Claude, LLama and other Bedrock models\nLeverage best practices in software development, including Continuous Integration/Continuous Deployment (CI/CD) along with appropriate functional and unit testing in place.\nInspire creativity by researching and applying the latest technologies and methodologies in machine learning and software development.\nWrite, review, and maintain high-quality code that meets industry standards.\nLead code review sessions, ensuring good code quality and documentation.\nMentor junior engineers, encouraging a culture of collaboration.\nProficiency in developing and debugging software with a preference for Python, though familiarity with additional programming languages is valued and encouraged.\nWhat You'll Need to be Successful\nBachelor's/Master's degree in computer science with 5+ years of industry experience in software development, along with experience building Machine Learning models and deploying them in production environments.\nProficiency working in cloud computing environments (AWS, Azure, GCP), Machine Learning frameworks, and software development best practices.\nWork with technological innovations in AI & ML(esp. GenAI)\nExperience with design patterns and data structures.\nGood analytical, design and debugging skills.",Information Technology,"['LLMs (GPT', 'Claude', 'LLama)', 'CI/CD', 'ML Frameworks', 'Python', 'AWS', 'software design patterns']",2025-06-12 15:33:48
Machine Learning Engineer,Robotics Technologies,4-8 Years,INR 19 - 30 LPA,"Gurugram, Kolkata, Mumbai","Description\nWe are seeking a skilled Machine Learning Engineer to join our team in India. The ideal candidate will have strong expertise in developing and implementing machine learning models, with a focus on solving real-world problems using data-driven approaches.\nResponsibilities\nDesign and implement machine learning models and algorithms for various applications.\nCollaborate with data scientists and software engineers to integrate machine learning solutions into products.\nAnalyze large datasets to identify patterns, trends, and insights that can inform business decisions.\nOptimize and fine-tune existing machine learning models for improved performance.\nStay updated with the latest advancements in machine learning technologies and techniques.\nSkills and Qualifications\n4-8 years of experience in machine learning, data science, or a related field.\nProficiency in programming languages such as Python, Java, or R.\nStrong understanding of machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, Scikit-learn).\nExperience with data preprocessing and feature engineering techniques.\nFamiliarity with cloud platforms (e.g., AWS, Google Cloud, Azure) for deploying machine learning models.\nKnowledge of SQL and experience with database management systems.\nUnderstanding of statistical analysis and data visualization techniques.","Retail Technology, Enterprise Resource Planning (ERP), Billing, Reading Apps, Developer APIs, iOS","['Data Analysis', 'Model Deployment', 'Feature Engineering', 'Python', 'Tensorflow', 'Cloud Computing', 'Sql', 'Neural Networks', 'algorithm optimization', 'Big Data']",2025-06-12 15:33:50
Machine Learning Engineer,Robotics Technologies,3-7 Years,INR 20 - 34.5 LPA,"Gurugram, Delhi, Kolkata","Description\nWe are seeking a skilled Machine Learning Engineer to join our team in India. The ideal candidate will have 3-7 years of experience in developing machine learning models and a strong background in data science. You will work on exciting projects that leverage machine learning to solve real-world problems.\nResponsibilities\nDesign and implement machine learning models for various applications.\nCollaborate with data scientists and software engineers to integrate ML models into production systems.\nConduct data preprocessing and feature engineering to improve model performance.\nEvaluate and optimize existing machine learning models for better accuracy and efficiency.\nStay updated with the latest advancements in machine learning and artificial intelligence.\nParticipate in code reviews and ensure best practices in software development.\nSkills and Qualifications\nBachelor's or Master's degree in Computer Science, Data Science, or a related field.\nProficiency in programming languages such as Python or R.\nExperience with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn.\nStrong understanding of algorithms and statistical models.\nFamiliarity with data manipulation and analysis libraries like Pandas and NumPy.\nKnowledge of SQL and database management.\nExperience with cloud platforms like AWS, Azure, or Google Cloud is a plus.","Sales Automation, Cloud Security, Network Security, Email, Data Center Automation, Military","['Data Analysis', 'Model Deployment', 'Feature Engineering', 'Hyperparameter Tuning', 'Python', 'Tensorflow', 'Cloud Computing', 'Sql', 'Big Data', 'Apis']",2025-06-12 15:33:51
Machine Learning Engineer,Now100 Solutions Private Limited,0-5 Years,,Hyderabad,"We are seeking a skilled Machine Learning Engineer with experience in model development, versioning, and deployment, particularly in cloud environments. The candidate should have strong expertise in Natural Language Processing (NLP), text annotation, and information extraction.\nKey Responsibilities:\nDevelop, version, and deploy machine learning models efficiently in cloud environments\nWork extensively with NLP techniques including text annotation and information extraction\nCollaborate with data scientists, engineers, and stakeholders to integrate ML solutions into products and workflows\nOptimize models for performance, scalability, and accuracy\nDocument models, deployment processes, and workflows\nRequired Skills:\nProven experience with machine learning model lifecycle management including versioning and deployment\nStrong knowledge of cloud deployment platforms (AWS, Azure, GCP, etc.)\nProficient in NLP techniques, text annotation, and information extraction\nGood problem-solving and communication skills",IT Management,"['Model Deployment', 'Cloud Platforms', 'Text Annotation', 'information extraction', 'Nlp', 'Azure']",2025-06-14 06:39:13
Senior Machine Learning Engineer - AI SaaS Company - Bengaluru,Michael Page,5-7 Years,,"Bengaluru, India","Opportunity to work on cutting edge data science projects\nBe part of a high performing AI team and work closely with senior leaders.\nJob Description\nLead the design and development of AI solutions-including Computer Vision, NLP, and Recommendation Systems-while driving full product lifecycle from concept to deployment. Build scalable ML pipelines and production-ready models, collaborating cross-functionally with product and UX teams. Actively contribute to R&D initiatives and upheld engineering excellence through innovative, high-quality code and system design.\nThe Successful Applicant\nAn AI/ML professional with 5+ years of experience in developing Computer Vision, NLP, and Generative AI solutions. Should be skilled in Python, PyTorch, and TensorFlow, with a strong foundation in machine learning principles and a track record of delivering clean, production-ready code and leading projects end-to-end.\nWhat's on Offer\nThe candidate will have a competitive salary, equity, and comprehensive benefits including family insurance, health teleconsultations, and learning budgets. Further they will benefit from flexible hours, a hybrid work setup, and unlimited PTO. They also get to be a part of a fast-growing company reshaping a large market, with opportunities for rapid career growth.",Login to check your skill match score,"['Generative AI', 'Tensorflow', 'Nlp', 'Pytorch', 'Python', 'Computer Vision']",2025-06-14 06:39:15
