job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Analyst,Tothr,3 - 5 years,6-12 Lacs P.A.,[],"We are seeking a dynamic candidate with strong data analytical capabilities, advanced Excel proficiency, and excellent English communication skills and bring innovative ideas to the table, and contribute actively toward optimizing internal workflows.\n\nRequired Candidate profile\nExcellent Communication Skill.\nPrior experience in handling vendors or external partners Familiarity with eCommerce workflows and operations",Industry Type: Miscellaneous,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Interactive Reports', 'Vendor Management', 'Advanced Excel', 'excellent Verbal and written communication in English']",2025-06-11 05:35:46
Data Analyst - Contract 3 months,RWS Group,5 - 8 years,22.5-30 Lacs P.A.,[],"Role & responsibilities -\nDevelop Sisense Report for Certified HAI (HSBC) to provide key business insights and form part of the QBR\nSupport with business reporting on the Evolve roll-out (LXD)\nImplement automated email triggers with reporting capabilities to track engagement and effectiveness.\nGenerate and maintain HAI reports in Salesforce for sales and customer service teams.\nCreate a HAI customer report in Salesforce for sales enablement and customer insights.\nDevelop and optimize the Marketing dashboard to track campaign performance.\nBuild a PJM management dashboard for project performance monitoring.\nProvide ongoing support for data-driven decision-making through continuous insights.\nAutomate customer surveys to streamline feedback collection.\nImplement a customer feedback review system within dashboards to assess quotes and service quality. \nMonitor conversion rates to improve lead generation and sales performance.\nGenerate customer heatmaps to analyze engagement and behavior trends.\n\nPreferred candidate profile\nProficiency in developing reports and dashboards using tools like Sisense and Salesforce, with a strong ability to deliver business insights that support quarterly business reviews (QBRs) and strategic initiatives.\nExperience in creating, managing, and optimizing reports and dashboards within Salesforce, specifically tailored for sales enablement, customer service, and performance monitoring.\nAbility to design and maintain marketing dashboards to effectively track and analyze campaign performance metrics.\nSkilled in building project management dashboards (e.g., PJM) to support performance analysis and reporting for project teams.\nExperience in implementing automated workflows, such as email triggers with embedded reporting, to track user engagement and process efficiency.\nAbility to automate surveys and develop customer feedback dashboards to assess service quality and support data-driven improvement.\nProven capability in delivering continuous insights and analytical support for strategic decision-making across multiple business units.\nCompetence in monitoring and analyzing conversion rates, customer behavior trends, and engagement heatmaps to inform sales and marketing strategies.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Project management dashboard', 'Sisense', 'Salesforce']",2025-06-11 05:35:48
Trainee Engineer - Projects (Data Analyst),Indian Financial Technology And Alliedservices,0 - 1 years,Not Disclosed,['Hyderabad'],"Summary:\nThe candidate will be supporting various projects handled unders the Payment Systems Department\nWork with development and support team members across different teams and IT vendors including clients to understand the expected outcome.\nWork with functional and technical teams to define project scope and render all support for prerquisites towards development team.\nAssist technical team to identify all the limitations and challenges, resolve issues, enable the system for smooth workflow.\nStrong problem solving and analytical skills.\nGood written and verbal communication skills.\nPassionate to learn new technologies / tools as required.\n\nResponsibilities:\nBridge the gap between technical and business teams.\nConvey the functional requirements to developers, helping them determine the technical requirements for the work and preparation of Low level design document.\nResponsible for tracking, managing, and reporting on the progress of the requirements.\nDocumenting process flows and execution for he same.\nTracking the progress of the project requirements.\nWork with program/project managers, product owners, and other team members in providing necessary support in order to complete the specific SOW.\nObtain a strong functional understanding of business processes and systems.\nAssist in analysing data and prepare action.\nInvolve in root cause and impact analysis.\n\nEducation:\nBE./ B.Tech/M.C.A/M.Sc (Computer Science)\n\nTechnical Knowledge:\n1. Understanding of Database structures, Middleware clusters and Application environments.\n2. Understanding of SLQ statements and basics of Java\n3. Understanding of Open source technologies, API management.\n\nExperience: Freshers\n1. Good verbal and written communication skills\n2. Willing to work in all shifts (24x7x365)",Industry Type: FinTech / Payments,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Database', 'Middleware', 'SQL', 'Open source']",2025-06-11 05:35:50
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,['Hyderabad'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\nDeliver\n\nNo Performance Parameter Measure\n1. Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\nMandatory Skills: Tableau.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'Tableau', 'data warehouses', 'data integration', 'Data modelling']",2025-06-11 05:35:51
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,['Hyderabad'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\n\n\nDeliver\n\nNoPerformance ParameterMeasure\n1.Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\nMandatory Skills: Database Architecting.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'data validation', 'data mining', 'data warehousing', 'business analytics', 'dashboards', 'data integration']",2025-06-11 05:35:53
Data Analyst,PwC India,4 - 8 years,Not Disclosed,"['Bengaluru', 'Mumbai (All Areas)']","If Interested, please apply in the given link : https://forms.office.com/r/h5Qzqnb1Kr\n\nJob Title: Data Analyst (4 - 8 Years Experience)\nLocation: Bengaluru/ Mumbai\nType: Full-Time\nAbout the Role:\nWe are on the lookout for a sharp, self-driven Data Analyst with a strong command of SQL, Python, and relational databases. If solving complex data problems, building efficient data pipelines, and collaborating across teams excites you - youll thrive in this role.",,,,"['Python', 'SQL', 'Data analyst']",2025-06-11 05:35:54
Data Analyst - L3,Wipro,3 - 5 years,Not Disclosed,['Bengaluru'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\nDeliver\n\nNo Performance Parameter Measure\n1. Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\nMandatory Skills: Tableau.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'Tableau', 'data warehouses', 'data integration', 'Data modelling']",2025-06-11 05:35:56
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,['Hyderabad'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\n\n\n\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\n\n\nDeliver\n\nNoPerformance ParameterMeasure1.Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\n\n\n\n\n\nMandatory Skills: Database Architecting.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Database Architecting', 'data analysis', 'data mining', 'business analytics', 'reporting tools']",2025-06-11 05:35:57
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,['Chennai'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\n\n\n\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\n\n\nDeliver\n\nNoPerformance ParameterMeasure1.Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\n\n\n\n\n\nMandatory Skills: Google BigQuery.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Google BigQuery', 'analytics reporting', 'data analysis', 'data mining', 'business analytics', 'bigquery', 'data integration']",2025-06-11 05:35:59
Data Analyst,"NTT DATA, Inc.",1 - 4 years,Not Disclosed,['Bengaluru'],"Req ID: 327898\n\nWe are currently seeking a Data Analyst to join our team in Bangalore, Karntaka (IN-KA), India (IN).\n\n""Job DutiesKey Responsibilities:\nConduct in-depth revenue analysis to identify trends and opportunities for growth.\nPerform P&L attribution, analyzing variances and providing detailed insights to stakeholders.\nExecute Independent Price Verification (IPV) processes to ensure the accuracy and consistency of financial data.\nLead data reconciliation efforts by identifying and resolving discrepancies in financial datasets.\nCollaborate with finance, operations, and IT teams to develop efficient processes and reporting mechanisms.\nDocument business requirements, workflows, and processes, translating them into technical specifications where necessary.\nDevelop and maintain financial models to support decision-making processes.\nMonitor financial performance and prepare detailed reports for senior management.\n\nMinimum Skills RequiredQualifications:\nBachelor's degree in Finance, Economics, Business, or a related field (Master""™s preferred).\nProven experience as a Business Analyst in the finance domain, with expertise in revenue, P&L attribution, IPV, and data reconciliation.\nStrong knowledge of financial principles, data analysis, and reporting tools.\nProficiency in data analytics platforms such as Excel, SQL, or Tableau.\nExcellent problem-solving skills and attention to detail.\nStrong communication and interpersonal skills for effective stakeholder management.\nAbility to work in a fast-paced, deadline-driven environment.\nPreferred\n\nSkills:\n\nCertification in Business Analysis (e.g., CBAP, CCBA) or related field is a plus.\nFamiliarity with financial systems and accounting software.\nExperience in Agile or Scrum methodologies.""",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['data analytics', 'data analysis', 'data reconciliation', 'stakeholder management', 'reporting tools', 'cbap', 'business analysis', 'variance analysis', 'ipv', 'sql', 'business requirement analysis', 'revenue', 'tableau', 'workflow analysis', 'scrum', 'technical specifications', 'agile']",2025-06-11 05:36:01
