job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Analyst (English Required),Peroptyx,0 - 4 years,Not Disclosed,[],"Role & responsibilities\n\nFor thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country.\nAt Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.\nWith this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time/full time professional or a work from home parent, Peroptyx has the right role for you!\nIdeal Candidate\nFluent in English (Strictly Required)\nExcellent research skills.\nExcellent local knowledge of India.\nGood understanding and general knowledge of the geography and culture of India.\nAnalytical mindset.\nJob Requirements\nMust be living in India for a minimum of 5 consecutive years.\nMust pass an online open-book exam that can verify your full understanding of the material and concepts.\nMust be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.\nGood working knowledge of search engines, map applications and familiarity with social media platforms.\nStrong ability to learn, understand and apply multiple sets of different instructions.\nAll work must be of an independent nature.\nTechnical requirements to perform the work\nAccess to a laptop or computer which uses:\nA logon account unique to you\nAnti-virus solution that is kept up to date, with regular scans performed\nOnly one member per household may apply\nNB. All products should be provided at your own expense.\nBenefits\nWork up to 20 hours per week.\nEarn a competitive rate of pay.\nDevelop your research skills.\nAvoid the long commute.\nWork from the comfort of your home office.\nEnjoy the flexibility of setting your own working hours!\nApply Online Today!\nPreferred candidate profile",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Part Time, Freelance/Homebased","['Data Analysis', 'English', 'Mapping', 'Data Analytics']",2025-06-12 05:44:30
Sleep Company is hiring Data Analyst,the Sleep Company,2 - 7 years,4-8 Lacs P.A.,['Mumbai (All Areas)'],"About Us: As India's fastest-growing D2C brand, we are at the forefront of innovation and transformation in the market. Were a well-funded, rapidly growing (we have recently launched our 100th store), omnichannel D2C brand with a passionate and innovative team.\n\nJob Summary: We are seeking a Senior Data Analyst to join our team to drive data-driven decision-making across the org. You will work closely across functions including growth, product, and ops to analyze data, generate reports and insights, and provide actionable recommendations\n\nKey Responsibilities:\nData Analysis:\nPerform in-depth analysis using statistical techniques like impact, pre-post, funnel analysis to identify insights and optimize to drive growth\nEvaluate product and feature performance, providing insights to inform product development and enhancements\nAnalyze and understand customer behavior and segment customers to tailor marketing and product strategies based on their needs and preferences\nReporting:\nDevelop and maintain comprehensive dashboards and reports that provide visibility into key metrics and self-serve reports to various teams\nInsights Generation:\nTranslate complex data into clear and actionable insights that drive business decisions and strategic initiatives\nCollaboration:\nWork closely with cross-functional teams, including growth, sales, and product, to understand their data needs and provide analytical support\nOwn and build the analytics roadmap from vendor and tool selection to dashboards and long-term projects\nData Quality:\nEnsure data accuracy and integrity by performing regular data validation and cleansing activities\nIdentify opportunities to streamline data processes and improve efficiency through the implementation of automation tools and techniques\nCore Analytics:\nWork end-to-end on projects like buyer attribution, campaign scoring model, optimal pricing strategy, lead funnel optimization, etc., using a data-driven approach\nCollaborate with the growth team to optimize ROAS by designing incrementality tests and campaign optimization and perform RCA\n\nSkills Required:\nMinimum 2-3 years of experience in the analytics domain.\nProficiency in data analysis tools and languages, such as SQL and Excel.\nStrong business acumen with the ability to connect data insights to business goals.\nStrong understanding and experience of statistical methods and advanced analytical techniques.\nSound understanding of data architecture and its implementation.\nExperience with data visualization tools, such as Tableau, Power BI, or Looker.\nSelf-motivated, proactive, and highly accountable.\nStrong communication skills, with the ability to present complex data insights to non-technical stakeholders",Industry Type: Furniture & Furnishing,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['SQL', 'Data Analysis', 'Data Visualization', 'Tableau', 'Data Analytics']",2025-06-12 05:44:33
Data Analyst - L3,Wipro,3 - 5 years,Not Disclosed,['Bengaluru'],"Role Purpose\nThe purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions.\nDo\n1. Managing the technical scope of the project in line with the requirements at all stages\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\nb. Develop record management process and policies\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\nd. Providing sales data, proposals, data insights and account reviews to the client base\ne. Identify areas to increase efficiency and automation of processes\nf. Set up and maintain automated data processes\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\nh. Produce and track key performance indicators\n2. Analyze the data sets and provide adequate information\na. Liaise with internal and external clients to fully understand data content\nb. Design and carry out surveys and analyze survey data as per the customer requirement\nc. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\nf. Develop predictive models and share insights with the clients as per their requirement\n\nDeliver\n\nNo Performance Parameter Measure\n1. Analyses data sets and provide relevant information to the clientNo. Of automation done, On-Time Delivery, CSAT score, Zero customer escalation, data accuracy\n\nMandatory Skills: Tableau.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'Tableau', 'data warehouses', 'data integration', 'Data modelling']",2025-06-12 05:44:35
Data Analyst - L3,Wipro,4 - 8 years,Not Disclosed,['Bengaluru'],"? \n\nDo\n\n1. Managing the technical scope of the project in line with the requirements at all stages\n\na. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends\n\nb. Develop record management process and policies\n\nc. Build and maintain relationships at all levels within the client base and understand their requirements.\n\nd. Providing sales data, proposals, data insights and account reviews to the client base\n\ne. Identify areas to increase efficiency and automation of processes\n\nf. Set up and maintain automated data processes\n\ng. Identify, evaluate and implement external services and tools to support data validation and cleansing.\n\nh. Produce and track key performance indicators\n\n2. Analyze the data sets and provide adequate information\n\na. Liaise with internal and external clients to fully understand data content\n\nb. Design and carry out surveys and analyze survey data as per the customer requirement\n\nc. Analyze and interpret complex data sets relating to customer’s business and prepare reports for internal and external audiences using business analytics reporting tools\n\nd. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking\n\ne. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool\n\nf. Develop predictive models and share insights with the clients as per their requirement",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['data analysis', 'data mining', 'data warehousing', 'business analytics', 'data integration', 'python', 'data analytics', 'data validation', 'business analysis', 'dbms', 'dashboards', 'cleansing', 'business intelligence', 'sales', 'sql', 'analytics reporting', 'tableau', 'reporting tools']",2025-06-12 05:44:38
Data Analyst,Wiley,0 - 3 years,Not Disclosed,['Noida'],"Job Description:\nData Analyst\nLocation:\nNoida, Uttar Pradesh, IND\nOur mission is to unlock human potential. We welcome you for who you are, the background you bring, and we embrace individuals who get excited about learning. Bring your experiences, your perspectives, and your passion; it s in our differences that we empower the way the world learns.\nAbout the Role:\n\n\n\n\n\n\n\n\n\n\n#LI",,,,"['Product management', 'Publishing', 'Business reporting', 'Analytical', 'Data processing', 'Data Analyst', 'data visualization', 'Analytics', 'Reporting tools', 'SQL']",2025-06-12 05:44:40
Data Analyst,Insuredmine Infotech India PVT LTD,1 - 4 years,3-5 Lacs P.A.,['Bengaluru( HSR Layout )'],"We are seeking a skilled Data Analyst with a preference for candidates holding any degree. The ideal candidate will possess exceptional analytical capabilities, particularly in sales analysis, financial analysis, and other business operations data analysis. Proficiency in Excel and data presentation at an advanced level is a must for this role. The incumbent will be responsible for extracting, analyzing, and interpreting data to provide actionable insights that drive strategic decision-making across various business functions.\n\nKey Responsibilities:\nConduct in-depth sales analysis to identify trends, opportunities, and areas for improvement.\nPerform financial analysis to support budgeting, forecasting, and financial planning processes.\nUtilize advanced Excel functions to manipulate and analyze large datasets efficiently.\nDevelop and maintain dashboards, reports, and data visualizations to communicate key findings effectively.\nCollaborate with cross-functional teams to understand business requirements and provide data-driven solutions.\nConduct ad-hoc analysis to address specific business questions and challenges.\nIdentify opportunities for process optimization and automation to streamline\ndata analysis workflows.\nStay updated with industry trends and best practices in data analysis and\nbusiness intelligence.\nQualifications:\nBachelor's degree in Business Administration, Statistics, Economics, Computer Science, or a related field. MBA preferred.\nProven experience (2 years) in a data analysis role, preferably within sales, finance, or business operations.\nAdvanced proficiency in Microsoft Excel, including complex formulas, pivot tables, and data visualization techniques.\nStrong analytical and problem-solving skills, with the ability to translate data into actionable insights.\nExperience working with BI tools (e.g., Tableau, Power BI) is a plus.\nExcellent communication skills with the ability to present findings and\nrecommendations to stakeholders at all levels.\nAbility to work independently and manage multiple projects simultaneously.\nAttention to detail and a commitment to delivering high-quality, accurate results.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analytics', 'Data Reporting', 'Data Visualization']",2025-06-12 05:44:42
Data Analyst,Primary Healthtech,1 - 5 years,2.5-4.5 Lacs P.A.,['Noida'],"Roles and Responsibilities\nCollect data from various sources, clean it, and analyze it using statistical tools.\nCreate reports based on analysis findings to present insights to stakeholders.\nDevelop dashboards and visualizations to effectively communicate results.\nManage databases by designing schema, writing queries, and optimizing performance.\nEnsure accuracy of data through quality control measures.\nDesired Candidate Profile\n1-5 years of experience in Data Analysis or related field (Data Analytics).\nB.Tech/B.E. degree in Any Specialization.\nProficiency in SQL programming language with knowledge of database management systems like MySQL or PostgreSQL.\nStrong understanding of statistics, data interpretation, and data visualization techniques.",Industry Type: Medical Devices & Equipment,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Interpretation', 'Data Analysis', 'Data Analytics', 'Data Management', 'Data Visualization', 'Data Reporting']",2025-06-12 05:44:45
Data Analyst,Abate As,0 - 2 years,Not Disclosed,['Perinthalmanna'],"The Data Analyst will play a key role in transforming raw data into actionable insights to support strategic decision-making and enhance operational efficiency. The ideal candidate is a detail-oriented professional with strong analytical skills, proficiency in data tools, and the ability to communicate findings effectively to diverse stakeholders.\n\nKey Responsibilities\n\nCollect, analyze, and interpret data from multiple sources to provide actionable insights.\nDeliver regular and ad-hoc reports, dashboards, and analytical solutions to stakeholders.\nDevelop high-quality, user-friendly reports and dashboards with self-service capabilities.\nWrite SQL queries to manipulate and extract insights from large datasets.\nCollaborate with teams to ensure data quality and improve data collection and reporting processes.\nPresent data-driven findings and recommendations in a clear and concise manner.\nWork closely with leadership to understand business needs and provide tailored analytical solutions.\nIdentify trends, patterns, and opportunities to support operational and strategic goals.\nExperiece\n\nProven experience in data analysis, reporting, and deriving insights in a fast-paced environment.\nStrong proficiency in manipulating and interpreting large datasets.\nExperience working with business stakeholders to translate data into actionable outcomes.\nFamiliarity with data visualization and reporting tools\nSkills\nDemonstrated ability to deliver high-quality analytical reports and insights.\nCommitment to maintaining data accuracy and improving data processes.\nStrong organizational skills with the ability to manage multiple tasks and deadlines.\nInterpersonal skills to work effectively with cross-functional teams and stakeholders.\nExperience with Zoho Analytics or similar tools is highly desirable but not mandatory",Industry Type: Medical Services / Hospital,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data analysis', 'Analytical', 'Data collection', 'Healthcare', 'Data quality', 'Data Analyst', 'data visualization', 'Operations', 'Analytics', 'Reporting tools']",2025-06-12 05:44:47
Data Analyst,"NTT DATA, Inc.",1 - 4 years,Not Disclosed,['Bengaluru'],"Req ID: 327898\n\nWe are currently seeking a Data Analyst to join our team in Bangalore, Karntaka (IN-KA), India (IN).\n\n""Job DutiesKey Responsibilities:\nConduct in-depth revenue analysis to identify trends and opportunities for growth.\nPerform P&L attribution, analyzing variances and providing detailed insights to stakeholders.\nExecute Independent Price Verification (IPV) processes to ensure the accuracy and consistency of financial data.\nLead data reconciliation efforts by identifying and resolving discrepancies in financial datasets.\nCollaborate with finance, operations, and IT teams to develop efficient processes and reporting mechanisms.\nDocument business requirements, workflows, and processes, translating them into technical specifications where necessary.\nDevelop and maintain financial models to support decision-making processes.\nMonitor financial performance and prepare detailed reports for senior management.\n\nMinimum Skills RequiredQualifications:\nBachelor's degree in Finance, Economics, Business, or a related field (Master""™s preferred).\nProven experience as a Business Analyst in the finance domain, with expertise in revenue, P&L attribution, IPV, and data reconciliation.\nStrong knowledge of financial principles, data analysis, and reporting tools.\nProficiency in data analytics platforms such as Excel, SQL, or Tableau.\nExcellent problem-solving skills and attention to detail.\nStrong communication and interpersonal skills for effective stakeholder management.\nAbility to work in a fast-paced, deadline-driven environment.\nPreferred\n\nSkills:\n\nCertification in Business Analysis (e.g., CBAP, CCBA) or related field is a plus.\nFamiliarity with financial systems and accounting software.\nExperience in Agile or Scrum methodologies.""",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['data analytics', 'data analysis', 'data reconciliation', 'stakeholder management', 'reporting tools', 'cbap', 'business analysis', 'variance analysis', 'ipv', 'sql', 'business requirement analysis', 'revenue', 'tableau', 'workflow analysis', 'scrum', 'technical specifications', 'agile']",2025-06-12 05:44:49
Data Analyst,"NTT DATA, Inc.",1 - 4 years,Not Disclosed,['Bengaluru'],"Req ID: 327858\n\nWe are currently seeking a Data Analyst to join our team in Bangalore, Karntaka (IN-KA), India (IN).\n\nJob DutiesKey ResponsibilitiesConduct in-depth revenue analysis to identify trends and opportunities for growth. Perform P&L attribution, analyzing variances and providing detailed insights to stakeholders. Execute Independent Price Verification (IPV) processes to ensure the accuracy and consistency of financial data. Lead data reconciliation efforts by identifying and resolving discrepancies in financial datasets. Collaborate with finance, operations, and IT teams to develop efficient processes and reporting mechanisms. Document business requirements, workflows, and processes, translating them into technical specifications where necessary. Develop and maintain financial models to support decision-making processes. Monitor financial performance and prepare detailed reports for senior management. Minimum Skills RequiredQualificationsBachelor's degree in Finance, Economics, Business, or a related field (Master""™s preferred). Proven experience as a Business Analyst in the finance domain, with expertise in revenue, P&L attribution, IPV, and data reconciliation. Strong knowledge of financial principles, data analysis, and reporting tools. Proficiency in data analytics platforms such as Excel, SQL, or Tableau. Excellent problem-solving skills and attention to detail. Strong communication and interpersonal skills for effective stakeholder management. Ability to work in a fast-paced, deadline-driven environment. Preferred\n\nSkills:\nCertification in Business Analysis (e.g., CBAP, CCBA) or related field is a plus. Familiarity with financial systems and accounting software. Experience in Agile or Scrum methodologies.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['data analytics', 'data analysis', 'data reconciliation', 'stakeholder management', 'reporting tools', 'cbap', 'revenue analysis', 'business analysis', 'ipv', 'sql', 'business requirement analysis', 'revenue', 'tableau', 'workflow analysis', 'scrum', 'technical specifications', 'agile']",2025-06-12 05:44:52
