job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Architect,Sonata Software,9 - 14 years,Not Disclosed,"['Hyderabad', 'Chennai', 'Bengaluru']",Greetings from Sonata software.\nWe are looking Role Data Architect.\n\nKey Responsibilities:\nDesign and evolve the data architecture for the core data warehouse to support key business projects and other organizational needs.,,,,"['Master Data Management', 'Etl Process', 'Data Architecture', 'data integration']",2025-06-10 16:54:11
Hiring GCP Data Architect,Motivity Labs,8 - 13 years,25-37.5 Lacs P.A.,['Hyderabad'],"Position: Data Architect GCP\nExp: 10+ Yrs\nRoles and Responsibilities\n10+ years of relevant work experience, including previous experience leading Data related projects in the field of Reporting and Analytics.\nDesign, build & maintain scalable data lake and data warehouse in cloud (GCP)\nExpertise in gathering business requirements, analysing business needs, defining the BI/DW architecture to support and help deliver technical solutions to complex business and technical requirements\nCreating solution prototype and participating in technology selection. Perform POC and technical presentations\nArchitect, develop and test scalable data warehouses and data pipelines architecture in Cloud Technologies (GCP)\nExperience in SQL and No SQL DBMS like MS SQL Server, MySQL, PostgreSQL, DynamoDB, Cassandra, MongoDB.\nDesign and develop scalable ETL processes, including error handling.\nExpert in Query and program languages MS SQL Server, T-SQL, PostgreSQL, MY SQL, Python, R.\nPreparing data structures for advanced analytics and self-service reporting using MS SQL, SSIS, SSRS\nWrite scripts for stored procedures, database snapshots backups and data archiving.\nExperience with any of these cloud-based technologies: o PowerBI/Tableau, Azure Data Factory, Azure Synapse, Azure Data Lake o AWS RedShift, Glue, Athena, AWS Quicksight , Google Cloud Platform\nGood to have:\nAgile development environment pairing DevOps with CI/CD pipelines\nAI/ML background\n\nInterested aspirants can share your updated CV to dikshith.nalapatla@motivitylabs.com for quick response.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['GCP', 'Data Architecture', 'Bigquery', 'Cloud', 'Data Modeling', 'Data Warehousing', 'SQL', 'Python']",2025-06-10 16:54:13
Data Architect,CGI,8 - 12 years,15-30 Lacs P.A.,['Hyderabad'],"Job Title: Data Architect / Data Modeler\nExperience Level: 8+ Years\nLocation: Hyderabad\nJob Summary\nWe are seeking a highly experienced Data Architect to join our growing Data & Analytics team. This role demands a strategic thinker and technical expert who can design and build robust, scalable, and efficient data solutions. You will play a critical role in architecting end-to-end data pipelines, designing optimized data models, and delivering business-centric data infrastructure using cutting-edge technologies such as Python, PySpark, SQL, Snowflake, and/or Databricks.\nThe ideal candidate will have a deep understanding of data engineering best practices and a proven track record of enabling data-driven decision-making through innovative and scalable data solutions.\nKey Responsibilities\nArchitect & Design Scalable Data Pipelines\nLead the design and implementation of high-performance, scalable, and maintainable data pipelines that support batch and real-time processing.\nData Modeling & Data Architecture\nDesign and implement optimized data models and database schemas to support analytics, reporting, and machine learning use cases.\nCloud Data Platforms\nDevelop and manage modern cloud-based data architectures using platforms like Snowflake or Databricks, ensuring performance, security, and cost-efficiency.\nData Integration & ETL Development\nBuild robust ETL/ELT workflows to ingest, transform, and provision data from a variety of internal and external sources.\nCollaboration with Stakeholders\nWork closely with data analysts, data scientists, product managers, and business leaders to translate business requirements into technical specifications and data solutions.\nData Quality & Governance\nImplement and advocate for best practices in data quality, security, compliance, lineage, and governance.\nPerformance Optimization\nOptimize data storage and query performance using advanced SQL, partitioning, indexing, caching strategies, and compute resource tuning.\nMentorship & Best Practices\nProvide mentorship to junior engineers, establish coding standards, and contribute to the growth and maturity of the data engineering practice.\nRequired Qualifications\nBachelors or Master’s degree in Computer Science, Engineering, Data Science, or a related field.\n8+ years of experience in data engineering or related roles.\nStrong expertise in Python and PySpark for data processing and transformation.\nProficient in advanced SQL with a deep understanding of query optimization and performance tuning.\nHands-on experience with Snowflake and/or Databricks in a production environment.\nExperience in designing and implementing data warehouses and data lakes.\nSolid understanding of distributed computing frameworks, big data ecosystems, and modern data architecture patterns.\nExperience with CI/CD, version control systems (e.g., Git), and workflow orchestration tools (e.g., Airflow, dbt, etc.).\nStrong communication skills with the ability to clearly articulate technical concepts to non-technical stakeholders.Role & responsibilities\n\n\nPreferred candidate profile",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['python', 'pyspark', 'sql', 'snowflake', 'Data Architecture']",2025-06-10 16:54:16
Data Architect,Ford,14 - 17 years,Not Disclosed,['Chennai'],"We are looking for Data Solution Architect to join FC India IT Architecture team. In this role, you will define analytics solutions and guide engineering teams to implement big data solutions on the cloud. Work involves migrating data from legacy on-prem warehouses to Google cloud data platform. This role will provide architecture assistance to data engineering teams in India, with key responsibility of supporting applications globally. This role will also drive business adoption of the new platform and sunset of legacy platforms.\nGoogle Professional Solution Architect certification.\n8+ years of relevant work experience in analytics application and data architecture, with deep understanding of cloud hosting concepts and implementations.\n5+ years experience in Data and Solution Architecture in analytics space. Solid knowledge of cloud data architecture, data modelling principles, and expertise in Data Modeling tools.\nExperience in migrating legacy analytics applications to Cloud platform and business adoption of these platforms to build insights and dashboards through deep knowledge of traditional and cloud Data Lake, Warehouse and Mart concepts.\nGood understanding of domain driven design and data mesh principles.\nExperience with designing, building, and deploying ML models to solve business challenges using Python/BQML/Vertex AI on GCP.\nKnowledge of enterprise frameworks and technologies. Strong in architecture design patterns, experience with secure interoperability standards and methods, architecture tolls and process.\nDeep understanding of traditional and cloud data warehouse environment, with hands on programming experience building data pipelines on cloud in a highly distributed and fault-tolerant manner. Experience using Dataflow, pub/sub, Kafka, Cloud run, cloud functions, Bigquery, Dataform, Dataplex , etc.\nStrong understanding on DevOps principles and practices, including continuous integration and deployment (CI/CD), automated testing & deployment pipelines.\nGood understanding of cloud security best practices and be familiar with different security tools and techniques like Identity and Access Management (IAM), Encryption, Network Security, etc. Strong understanding of microservices architecture.\nNice to Have\nBachelor s degree in Computer science/engineering, Data science or related field.\nStrong leadership, communication, interpersonal, organizing, and problem-solving skills\nGood presentation skills with ability to communicate architectural proposals to diverse audiences (user groups, stakeholders, and senior management).\nExperience in Banking and Financial Regulatory Reporting space.\nAbility to work on multiple projects in a fast paced & dynamic environment.\nExposure to multiple, diverse technologies, platforms, and processing environments.\nUtilize Google Cloud Platform & Data Services to modernize legacy applications.\nUnderstand technical business requirements and define architecture solutions that align to Ford Motor & Credit Companies Patterns and Standards.\nCollaborate and work with global architecture teams to define analytics cloud platform strategy and build Cloud analytics solutions within enterprise data factory.\nProvide Architecture leadership in design & delivery of new Unified data platform on GCP.\nUnderstand complex data structures in analytics space as well as interfacing application systems. Develop and maintain conceptual, logical & physical data models. Design and guide Product teams on Subject Areas and Data Marts to deliver integrated data solutions.\nProvide architectural guidance for optimal solutions considering regional Regulatory needs.\nProvide architecture assessments on technical solutions and make recommendations that meet business needs and align with architectural governance and standard.\nGuide teams through the enterprise architecture processes and advise teams on cloud-based design, development, and data mesh architecture.\nProvide advisory and technical consulting across all initiatives including PoCs, product evaluations and recommendations, security, architecture assessments, integration considerations, etc.\nLeverage cloud AI/ML Platforms to deliver business and technical requirements.",Industry Type: Auto Components,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['Computer science', 'Solution architecture', 'Data modeling', 'Access management', 'Enterprise architecture', 'Consulting', 'Network security', 'Data structures', 'Analytics', 'Python']",2025-06-10 16:54:18
Data Architect,Wissen Infotech,7 - 10 years,12-22 Lacs P.A.,['Bengaluru'],"Be the digital functional owner of their scope: understand the technical solution, describe it to business stakeholders, and suggest evolutions to meet new business needs - Work closely with stakeholders to understand business objectives, gather requirements, and translate them into comprehensive functional specifications. - Collaborate with software development teams to communicate business requirements, validate technical feasibility, and ensure alignment with project goals - Conduct thorough analysis of end-to-end processes and data flows, identifying areas for improvement and proposing innovative solutions - Document stories, use cases, and process flows to ensure clear communication between business and technical teams - Facilitate workshops, meetings, and training sessions to promote a shared understanding of business analysis methodologies and foster a culture of continuous improvement - Partner with software development leaders to ensure that business requirements are clearly communicated, validated, and integrated into development initiatives - Champion a customer-centric approach to business analysis, seeking to understand and address the needs of end-users and stakeholders - Foster a collaborative and growth-oriented team environment, promoting knowledge sharing and skill development - Troubleshoot and resolve integration issues, ensuring minimal disruption to business operations - Participate in testing and validation activities to ensure solutions meet business requirements and quality standards Internal - Participate in architecture review board meetings and make strategic recommendations for cloud architecture Qualifications - 4+ years experience working in IT product, analyst, functional or architecture roles - Bachelor’s degree in business administration, Information Technology, or related field (technical background required) - Comprehensive knowledge and hands-on experience with MDM environments - Strong analytical and problem-solving skills - Excellent communication and collaboration skills - Ability to manage multiple projects simultaneously and prioritize tasks effectively - Strong understanding of business analysis methodologies, tools, and best practices within a software development context - A desire for continuous learning and stay updated with emerging technologies - Experience in Agile methodologies and leading business analysis efforts in Agile environments - Understanding of service business processes is a plus - Experience with Informatica Cloud and AWS environments is a plus - Certification in Business Analysis (e.g., CBAP) is a plus Skills - Due to the nature of this position sitting on a global team, fluent English communication skills (written & spoken) are required - Technical awareness to understand and validate development proposals against functional requirements - Experience with BI tools such as Power BI, Tableau, Quicksight - Ability to see the consumer perspective and act as their advocate - Strong interpersonal skills, with ability to communicate and convince at various levels of the organization, and in a multicultural environment - Ability to effectively multi-task and manage priorities - Strong analytical and synthesis skills - Initiative to uncover and solve problems proactively - Ability to understand complex software development environments Role & responsibilities\n\n\nPreferred candidate profile",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Power BI', 'Tableau', 'Quicksight']",2025-06-10 16:54:20
Data Architect-Data Modelling,Tiger Analytics,10 - 15 years,Not Disclosed,"['Hyderabad', 'Chennai', 'Bengaluru']","Role & responsibilities\nAs an Architect, you will work to solve some of the most complex and captivating data management problems that would enable them as a data-driven organization; Seamlessly switch between roles of an Individual Contributor, team member, and Data Modeling Architect as demanded by each project to define, design, and deliver actionable insights.\nOn a typical day, you might\nEngage the clients & understand the business requirements to translate those into data models.",,,,"['Data Modeling', 'Data Architecture', 'SQL', 'Cloud Platforms', 'OLAP', 'Data Warehousing', 'OLTP']",2025-06-10 16:54:22
Snowflake Data Architect,Kasmo Digital,10 - 16 years,Not Disclosed,['Hyderabad'],"Required Skills & Qualifications:\n10-12 years of experience in data architecture, data warehousing, and cloud technologies.\nStrong expertise in Snowflake architecture, data modeling, and optimization.\nSolid hands-on experience with cloud platforms: AWS, Azure, and GCP.\nIn-depth knowledge of SQL, Python, PySpark, and related data engineering tools.\nExpertise in data modeling (both dimensional and normalized models).\nStrong experience with data integration, ETL processes, and pipeline development.\nCertification in Snowflake, AWS, Azure, or related cloud technologies.\nExperience working with large-scale data processing frameworks and platforms.\nExperience in data visualization tools and BI platforms (e.g., Tableau, Power BI).\nExperience in Agile methodologies and project management.\nStrong problem-solving skills with the ability to address complex technical challenges.\nExcellent communication skills and ability to work collaboratively with cross-functional teams.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Snowflake', 'Data Visualization', 'Data Modeling', 'Data Warehousing', 'SQL', 'Data Architecture', 'Python']",2025-06-10 16:54:24
Data Architect,R Systems International,4 - 6 years,20-25 Lacs P.A.,['Noida'],"Technical Requirements\n  SQL (Advanced level):\nStrong command of complex SQL logic, including window functions, CTEs, pivot/unpivot, and be proficient in stored procedure/SQL script development.\nExperience writing maintainable SQL for transformations.\n  Python for ETL:",,,,"['hive', 'continuous integration', 'amazon redshift', 'pyspark', 'ci/cd', 'data warehousing', 'data architecture', 'sql', 'stored procedures', 'etl pipelines', 'postgresql', 'json', 'etl', 'data profiling', 'architecture', 'cd', 'development', 'python', 'data processing', 'elt', 'data bricks', 'sql scripting', 'data quality', 'logic', 'aws']",2025-06-10 16:54:27
Data Architect,Ford,8 - 13 years,Not Disclosed,['Chennai'],"We are looking for Data Solution Architect to join FC India IT Architecture team. In this role, you will define analytics solutions and guide engineering teams to implement big data solutions on the cloud. Work involves migrating data from legacy on-prem warehouses to Google cloud data platform. This role will provide architecture assistance to data engineering teams in India, with key responsibility of supporting applications globally. This role will also drive business adoption of the new platform and sunset of legacy platforms.\nGoogle Professional Solution Architect certification.\n8+ years of relevant work experience in analytics application and data architecture, with deep understanding of cloud hosting concepts and implementations.\n5+ years experience in Data and Solution Architecture in analytics space. Solid knowledge of cloud data architecture, data modelling principles, and expertise in Data Modeling tools.\nExperience in migrating legacy analytics applications to Cloud platform and business adoption of these platforms to build insights and dashboards through deep knowledge of traditional and cloud Data Lake, Warehouse and Mart concepts.\nGood understanding of domain driven design and data mesh principles.\nExperience with designing, building, and deploying ML models to solve business challenges using Python/BQML/Vertex AI on GCP.\nKnowledge of enterprise frameworks and technologies. Strong in architecture design patterns, experience with secure interoperability standards and methods, architecture tolls and process.\nDeep understanding of traditional and cloud data warehouse environment, with hands on programming experience building data pipelines on cloud in a highly distributed and fault-tolerant manner. Experience using Dataflow, pub/sub, Kafka, Cloud run, cloud functions, Bigquery, Dataform, Dataplex , etc.\nStrong understanding on DevOps principles and practices, including continuous integration and deployment (CI/CD), automated testing & deployment pipelines.\nGood understanding of cloud security best practices and be familiar with different security tools and techniques like Identity and Access Management (IAM), Encryption, Network Security, etc. Strong understanding of microservices architecture.\nNice to Have\nBachelor s degree in Computer science/engineering, Data science or related field.\nStrong leadership, communication, interpersonal, organizing, and problem-solving skills\nGood presentation skills with ability to communicate architectural proposals to diverse audiences (user groups, stakeholders, and senior management).\nExperience in Banking and Financial Regulatory Reporting space.\nAbility to work on multiple projects in a fast paced & dynamic environment.\nExposure to multiple, diverse technologies, platforms, and processing environments.\nUtilize Google Cloud Platform & Data Services to modernize legacy applications.\nUnderstand technical business requirements and define architecture solutions that align to Ford Motor & Credit Companies Patterns and Standards.\nCollaborate and work with global architecture teams to define analytics cloud platform strategy and build Cloud analytics solutions within enterprise data factory.\nProvide Architecture leadership in design & delivery of new Unified data platform on GCP.\nUnderstand complex data structures in analytics space as well as interfacing application systems. Develop and maintain conceptual, logical & physical data models. Design and guide Product teams on Subject Areas and Data Marts to deliver integrated data solutions.\nProvide architectural guidance for optimal solutions considering regional Regulatory needs.\nProvide architecture assessments on technical solutions and make recommendations that meet business needs and align with architectural governance and standard.\nGuide teams through the enterprise architecture processes and advise teams on cloud-based design, development, and data mesh architecture.\nProvide advisory and technical consulting across all initiatives including PoCs, product evaluations and recommendations, security, architecture assessments, integration considerations, etc.\nLeverage cloud AI/ML Platforms to deliver business and technical requirements.",Industry Type: Automobile,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Computer science', 'Solution architecture', 'Data modeling', 'Access management', 'Enterprise architecture', 'Consulting', 'Network security', 'Data structures', 'Analytics', 'Python']",2025-06-10 16:54:29
Data Architect,Accenture,15 - 19 years,Not Disclosed,['Bengaluru'],"Project Role :Data Architect\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\nMust have skills :Google Cloud Platform Architecture\n\nGood to have skills :NA\nMinimum 15 year(s) of experience is required\n\nEducational Qualification :Total 15 years of full time education\nSummary:As an AI/ML Architect, you will be responsible for developing applications and systems that utilize AI tools and Cloud AI services. Your typical day will involve applying GenAI models as part of the solution, utilizing deep learning, neural networks, chatbots, and image processing.\nRoles & Responsibilities:\nDesign and develop CCAI applications and systems utilizing Google Cloud Machine Learning Services, dialogue flow CX, agent assist.\nDesign, develop and implement chatbot solutions that integrate seamlessly with CCAI and other Cloud services\nApply GenAI-Vertex AI models as part of the solution, utilizing deep learning, neural networks, chatbots, and image processing.\nEnsure proper cloud or on-prem application pipeline with production-ready quality.\nCollaborate with cross-functional teams to ensure successful implementation of AI/ML solutions.Professional & Technical Skills:\nMust To Have Skills:Proficiency in Google Cloud Machine Learning Services.\nGood To Have Skills:Cloud Data Architecture, Cloud ML/PCA/PDE Certification.\nStrong understanding of AI/ML algorithms and techniques.\nExperience with deep learning, neural networks, chatbots, and image processing.\nExperience with cloud data architecture solutions.\nExperience with cloud or on-prem application pipeline with production-ready quality.\nExperience with integrating multiple services such as NLP, voice recognition, and third party APIs.\nStrong communication skills, with the ability to explain technical concepts to non-technical stakeholders. Additional Information:\nThe candidate should have a minimum of 17 years of experience in Google Cloud Machine Learning Services.\nThe ideal candidate will possess a strong educational background in computer science, mathematics, or a related field, along with a proven track record of delivering impactful data-driven solutions.\nThis position is based at our Bengaluru office.QualificationTotal 15 years of full time education",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['google', 'cloud platform', 'artificial intelligence', 'ml algorithms', 'platform architecture', 'chatbot', 'python', 'natural language processing', 'neural networks', 'microsoft azure', 'data architecture', 'machine learning', 'pca', 'sql', 'deep learning', 'tableau', 'data science', 'gcp', 'aws', 'ml']",2025-06-10 16:54:31
