job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Engineer,Motorola Solutions,0 - 2 years,Not Disclosed,['Bengaluru'],"Department Overview The Cloud Platform Engineering team is responsible for the development and operations of critical cloud infrastructure, reliability, security and Business operational services, in support of Motorola Solutions public and hybrid cloud-based Software as a Service (SaaS) solutions for public safety customers. This team is part of Motorola Solutions Software Enterprise division, which offers secure, reliable and efficient team communications, workflow and operational intelligence solutions for mission critical public safety and enterprise markets throughout the world. Our services leverage Cloud Computing infrastructure on Azure, AWS and GCP to build at scale.\nJob Description\nDevelop and maintain ETL pipelines using Python, NumPy, Pandas, PySpark, and Apache Airflow.\nDesign and implement ETL solutions for reporting purposes\nServer-side development skills like multithreading, asynchronous IO, databases\nKnowledge of Azure DevOps and Github\nWork with large-scale data processing and transformation workflows.\nOptimize and enhance ETL performance and scalability.\nCollaborate with data engineers and business teams to ensure efficient data flow.\nTroubleshoot and debug ETL-related issues to ensure data integrity and reliability.\nAs a software engineer on this team, you will be a key contributor to platform development activities. Our teams are developing services, tools, and processes to support other Motorola Solutions engineering teams as well as deliver solutions to our customers. You will be working on a high-velocity, results-oriented team that leverages cutting-edge technologies and techniques. The right individual will be motivated and will have a passion for automation, deployment processes and enabling innovation. Your efforts will help to shape the engineering culture and best practices across Motorola Solutions Software Enterprise organization.\n\nBasic Requirements\n0-2 years of Python experience, with good understanding of Python ETL development.\nProficiency in PySpark, Apache Airflow, NumPy, and Pandas.\nProficiency in working with SQL and Bigquery\nStrong problem-solving skills and the ability to work independently.\nProficiency in cloud-based ETL solutions (AWS, GCP, Azure).\nKnowledge of big data technologies like Hadoop, Spark, or Kafka.",Industry Type: Telecom / ISP,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Cloud computing', 'Automation', 'github', 'Multithreading', 'Workflow', 'Data processing', 'Apache', 'Operations', 'SQL', 'Python']",2025-06-10 14:08:52
Data Engineer,Visa,3 - 8 years,Not Disclosed,['Bengaluru'],"We are seeking a Data Engineer with a strong background in data engineering. This role involves managing system requirements, design, development, integration, quality assurance, implementation, and maintenance of corporate applications.\nWork with product owners, business stakeholders and internal teams to understand business requirements and desired business outcomes.\nAssist in scoping and designing analytic data assets, implementing modelled attributes and contributing to brainstorming sessions.\nBuild and maintain a robust data engineering process to develop and implement self-serve data and tools for Visa s product management teams and data scientists.\nFind opportunities to create, automate and scale repeatable analyses or build self-service tools for business users.\nExecute data engineering projects ranging from small to large either individually or as part of a project team.\nSet the benchmark in the team for good data engineering practices and assist leads and architects in solution design.\nExhibit a passion for optimizing existing solutions and making incremental improvements.\nThis is a hybrid position. Expectation of days in office will be confirmed by your hiring manager.\n\n\nBasic Qualification\n-Bachelors degree, OR 3+ years of relevant work experience\n\nPreferred Qualification\n-Minimum of 1 years experience in building data engineering pipelines.\n-Design and coding skills with Big Data technologies like Hadoop, Spark, Hive and Map reduce.\n-Mastery in Pyspark or Scala.\n-Expertise in any programming like Java or Python. Knowing OOP concepts like inheritance, polymorphism and implementing Design Patterns in programming is needed.\n-Experience with cloud platforms like AWS, GCP, or Azure is good to have.\n-Excellent problem-solving skills and ability to think critically.\n-Experience with any one ETL tool like Informatica, SSIS, Pentaho or Azure Data Factory.\n-Knowledge of successful design, and development of data driven real time and batch systems.\n-Experience in data warehousing and an expert in any one of the RDBMS like SQL Server, Oracle, etc.\n-Nice to have reporting skills on PowerBI/Tableau/QlikView.\n-Strong understanding of cloud architecture and service offerings including compute, storage, databases, networking, AI, and ML.\n-Passionate about delivering zero defect code that meets or exceeds the proposed defect SLA and have high sense of accountability for quality and timelines on deliverables.\n-Experience developing as part of Agile/Scrum team is preferred and hands on with Jira.\n-Understanding basic CI/ CD functionality and Git concepts is must.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['Product management', 'Manager Quality Assurance', 'Networking', 'RDBMS', 'Coding', 'Informatica', 'Oracle', 'SSIS', 'SQL', 'Python']",2025-06-10 14:08:54
Data Engineer,PwC India,4 - 8 years,Not Disclosed,['Bengaluru'],"If Interested please fill the below application link : https://forms.office.com/r/Zc8wDfEGEH\n\n\nResponsibilities:\nDeliver projects integrating data flows within and across technology systems.\nLead data modeling sessions with end user groups, project stakeholders, and technology teams to produce logical and physical data models.",,,,"['Pyspark', 'Aws Cloud', 'Azure Cloud', 'Python']",2025-06-10 14:08:57
Data Engineer,Capgemini,3 - 5 years,Not Disclosed,['Pune'],"Capgemini Invent\n\nCapgemini Invent is the digital innovation, consulting and transformation brand of the Capgemini Group, a global business line that combines market leading expertise in strategy, technology, data science and creative design, to help CxOs envision and build whats next for their businesses.\n\nYour Role\nHas data pipeline implementation experience with any of these cloud providers - AWS, Azure, GCP.\nExperience with cloud storage, cloud database, cloud data warehousing and Data Lake solutions like Snowflake, Big query, AWS Redshift, ADLS, S3.\nHas good knowledge of cloud compute services and load balancing.\nHas good knowledge of cloud identity management, authentication and authorization.\nProficiency in using cloud utility functions such as AWS lambda, AWS step functions, Cloud Run, Cloud functions, Azure functions.\nExperience in using cloud data integration services for structured, semi structured and unstructured data such as Azure Databricks, Azure Data Factory, Azure Synapse Analytics, AWS Glue, AWS EMR, Dataflow, Dataproc.\nYour Profile\nGood knowledge of Infra capacity sizing, costing of cloud services to drive optimized solution architecture, leading to optimal infra investment vs performance and scaling.\nAble to contribute to making architectural choices using various cloud services and solution methodologies.\nExpertise in programming using python.\nVery good knowledge of cloud Dev-ops practices such as infrastructure as code, CI/CD components, and automated deployments on cloud.\nMust understand networking, security, design principles and best practices in cloud.\nWhat you will love about working here\nWe recognize the significance of flexible work arrangements to provide support. Be it remote work, or flexible work hours, you will get an environment to maintain healthy work life balance.\nAt the heart of our mission is your career growth. Our array of career growth programs and diverse professions are crafted to support you in exploring a world of opportunities.\nEquip yourself with valuable certifications in the latest technologies such as Generative AI.\nAbout Capgemini\n\nCapgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of 22.5 billion.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['python', 'networking', 'ops', 'design principles', 'aws', 'azure databricks', 'snowflake', 'azure data lake', 'glue', 'amazon redshift', 'azure synapse', 'microsoft azure', 'data warehousing', 'azure data factory', 'emr', 'aws lambda', 'data engineering', 'dataproc', 'aws glue', 'gcp', 'bigquery', 'data flow']",2025-06-10 14:09:00
Data Engineer,Motorola Solutions,2 - 3 years,Not Disclosed,['Bengaluru'],"Department Overview The Cloud Platform Engineering team is responsible for the development and operations of critical cloud infrastructure, reliability, security and Business operational services, in support of Motorola Solutions public and hybrid cloud-based Software as a Service (SaaS) solutions for public safety customers. This team is part of Motorola Solutions Software Enterprise division, which offers secure, reliable and efficient team communications, workflow and operational intelligence solutions for mission critical public safety and enterprise markets throughout the world. Our services leverage Cloud Computing infrastructure on Azure, AWS and GCP to build at scale.\nJob Description\nDevelop and maintain ETL pipelines using Python, NumPy, Pandas, PySpark, and Apache Airflow.\nDesign and implement ETL solutions for reporting purposes\nServer-side development skills like multithreading, asynchronous IO, databases\nKnowledge of Azure DevOps and Github\nWork with large-scale data processing and transformation workflows.\nOptimize and enhance ETL performance and scalability.\nCollaborate with data engineers and business teams to ensure efficient data flow.\nTroubleshoot and debug ETL-related issues to ensure data integrity and reliability.\nAs a software engineer on this team, you will be a key contributor to platform development activities. Our teams are developing services, tools, and processes to support other Motorola Solutions engineering teams as well as deliver solutions to our customers. You will be working on a high-velocity, results-oriented team that leverages cutting-edge technologies and techniques. The right individual will be motivated and will have a passion for automation, deployment processes and enabling innovation. Your efforts will help to shape the engineering culture and best practices across Motorola Solutions Software Enterprise organization.\n\nBasic Requirements\n3+ years of Python experience, with 2+ years dedicated to Python ETL development.\nProficiency in PySpark, Apache Airflow, NumPy, and Pandas.\nExperience in working with SQL and Bigquery\nStrong problem-solving skills and the ability to work independently.\nExperience in cloud-based ETL solutions (AWS, GCP, Azure).\nKnowledge of big data technologies like Hadoop, Spark, or Kafka.",Industry Type: Telecom / ISP,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Cloud computing', 'Automation', 'github', 'Multithreading', 'Workflow', 'Data processing', 'Apache', 'Operations', 'SQL', 'Python']",2025-06-10 14:09:02
Data Engineer - Hadoop,Wipro,5 - 8 years,Not Disclosed,['Bengaluru'],"Wipro Limited (NYSEWIT, BSE507685, NSEWIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 230,000 employees and business partners across 65 countries, we deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world. For additional information, visit us at www.wipro.com.\n About The Role  _x000D_\n\n \n\nRole Purpose  \nThe purpose of the role is to support process delivery by ensuring daily performance of the Production Specialists, resolve technical escalations and develop technical capability within the Production Specialists.\n\n\n ? _x000D_\n\n \n\nDo  \n\n\nOversee and support process by reviewing daily transactions on performance parameters\nReview performance dashboard and the scores for the team\nSupport the team in improving performance parameters by providing technical support and process guidance\nRecord, track, and document all queries received, problem-solving steps taken and total successful and unsuccessful resolutions\nEnsure standard processes and procedures are followed to resolve all client queries\nResolve client queries as per the SLA’s defined in the contract\nDevelop understanding of process/ product for the team members to facilitate better client interaction and troubleshooting\nDocument and analyze call logs to spot most occurring trends to prevent future problems\nIdentify red flags and escalate serious client issues to Team leader in cases of untimely resolution\nEnsure all product information and disclosures are given to clients before and after the call/email requests\nAvoids legal challenges by monitoring compliance with service agreements\n\n\n ? _x000D_\n\n\nHandle technical escalations through effective diagnosis and troubleshooting of client queries\nManage and resolve technical roadblocks/ escalations as per SLA and quality requirements\nIf unable to resolve the issues, timely escalate the issues to TA & SES\nProvide product support and resolution to clients by performing a question diagnosis while guiding users through step-by-step solutions\nTroubleshoot all client queries in a user-friendly, courteous and professional manner\nOffer alternative solutions to clients (where appropriate) with the objective of retaining customers’ and clients’ business\nOrganize ideas and effectively communicate oral messages appropriate to listeners and situations\nFollow up and make scheduled call backs to customers to record feedback and ensure compliance to contract SLA’s\n\n\n ? _x000D_\n\n\nBuild people capability to ensure operational excellence and maintain superior customer service levels of the existing account/client\nMentor and guide Production Specialists on improving technical knowledge\nCollate trainings to be conducted as triage to bridge the skill gaps identified through interviews with the Production Specialist\nDevelop and conduct trainings (Triages) within products for production specialist as per target\nInform client about the triages being conducted\nUndertake product trainings to stay current with product features, changes and updates\nEnroll in product specific and any other trainings per client requirements/recommendations\nIdentify and document most common problems and recommend appropriate resolutions to the team\nUpdate job knowledge by participating in self learning opportunities and maintaining personal networks\n\n\n ? _x000D_\n\nDeliver\nNoPerformance ParameterMeasure1ProcessNo. of cases resolved per day, compliance to process and quality standards, meeting process level SLAs, Pulse score, Customer feedback, NSAT/ ESAT2Team ManagementProductivity, efficiency, absenteeism3Capability developmentTriages completed, Technical Test performance\n\nMandatory\n\nSkills:\nHadoop_x000D_.\n\nExperience5-8 Years_x000D_.\n\nReinvent your world. We are building a modern Wipro. We are an end-to-end digital transformation partner with the boldest ambitions. To realize them, we need people inspired by reinvention. Of yourself, your career, and your skills. We want to see the constant evolution of our business and our industry. It has always been in our DNA - as the world around us changes, so do we. Join a business powered by purpose and a place that empowers you to design your own reinvention. Come to Wipro. Realize your ambitions. Applications from people with disabilities are explicitly welcome.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['hive', 'data engineering', 'spark', 'troubleshooting', 'hadoop', 'cloudera', 'python', 'scala', 'big data analytics', 'oozie', 'airflow', 'pyspark', 'data warehousing', 'apache pig', 'machine learning', 'sql', 'mapreduce', 'sqoop', 'big data', 'aws', 'etl', 'hbase']",2025-06-10 14:09:05
Data Engineer-Data Modelling,IBM,2 - 5 years,Not Disclosed,['Pune'],"Translates business needs into a data model, providing expertise on data modeling tools and techniques for designing data models for applications and related systems.\nSkills include logical and physical data modeling, and knowledge of ERWin, MDM, and/or ETL.\nData modeling is a process used to define and analyze data requirements needed to support the business processes within the scope of corresponding information systems in organizations\n\n\nRequired education\nBachelor's Degree\n\nPreferred education\nMaster's Degree\n\nRequired technical and professional expertise\nTranslates business needs into a data model, providing expertise on data modeling tools and techniques for designing data models for applications and related systems.\nSkills include logical and physical data modeling, and knowledge of ERWin, MDM, and/or ETL.\nData modeling is a process used to define and analyze data requirements needed to support the business processes within the scope of corresponding information systems in organizations.\nTherefore, the process of data modeling involves professional data modelers working closely with business stakeholders, as well as potential users of the information system.\nThere are three different types of data models produced while progressing from requirements to the actual database to be used for the information system.\n\n\nPreferred technical and professional experience\nTranslates business needs into a data model, providing expertise on data modeling tools and techniques for designing data models for applications and related systems.\nSkills include logical and physical data modeling, and knowledge of ERWin, MDM, and/or ETL.\nData modeling is a process used to define and analyze data requirements needed to support the business processes within the scope of corresponding information systems in organizations.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['erwin', 'data engineering', 'data modeling', 'mdm', 'etl', 'hive', 'python', 'oracle', 'data analysis', 'data warehousing', 'power bi', 'microsoft azure', 'business intelligence', 'sql server', 'sql', 'plsql', 'tableau', 'unix shell scripting', 'spark', 'hadoop', 'big data', 'aws', 'informatica', 'unix']",2025-06-10 14:09:08
Data Engineer - Marketing,Kimberly-Clark Corporation,7 - 12 years,Not Disclosed,['Bengaluru'],"Our Data Engineers play a crucial role in designing and operationalizing transformational enterprise data solutions on Cloud Platforms, integrating Azure services, Snowflake technology, and other third-party data technologies.\nCloud Data Engineers will work closely with a multidisciplinary agile team to build high-quality data pipelines that drive analytic solutions. These solutions will generate insights from our connected data, enabling Kimberly-Clark to advance its data-driven decision-making capabilities.\nThe ideal candidate will have a deep understanding of data architecture, data engineering, data warehousing, data analysis, reporting, and data science techniques and workflows. They should be skilled in creating data products that support analytic solutions and possess proficiency in working with APIs and understanding data structures to serve them.",,,,"['Performance tuning', 'Data modeling', 'RDBMS', 'Coding', 'Flex', 'Agile', 'Data structures', 'Troubleshooting', 'SQL', 'Python']",2025-06-10 14:09:10
AZURE DATA ENGINEER,Capgemini,4 - 9 years,Not Disclosed,['Bengaluru'],"Your Role \n\nAs a senior software engineer with Capgemini, you should have 4 + years of experience in Azure Data Engineer with strong project track record\n\nIn this role you will play a key role in\nStrong customer orientation, decision making, problem solving, communication and presentation skills\nVery good judgement skills and ability to shape compelling solutions and solve unstructured problems with assumptions\nVery good collaboration skills and ability to interact with multi-cultural and multi-functional teams spread across geographies\nStrong executive presence andspirit\nSuperb leadership and team building skills with ability to build consensus and achieve goals through collaboration rather than direct line authority\n\n\n Your Profile \n\nExperience with Azure Data Bricks, Data Factory\nExperience with Azure Data components such as Azure SQL Database, Azure SQL Warehouse, SYNAPSE Analytics\nExperience in Python/Pyspark/Scala/Hive Programming.\nExperience with Azure Databricks/ADB\nExperience with building CI/CD pipelines in Data environments\n\n\n\nPrimary Skills\nADF (Azure Data Factory) OR\nADB (Azure Data Bricks)\n\n\n\nSecondary Skills\nExcellent verbal and written communication and interpersonal skills\n\n Skills (competencies) \n\nAb Initio\nAgile (Software Development Framework)\nApache Hadoop\nAWS Airflow\nAWS Athena\nAWS Code Pipeline\nAWS EFS\nAWS EMR\nAWS Redshift\nAWS S3\nAzure ADLS Gen2\nAzure Data Factory\nAzure Data Lake Storage\nAzure Databricks\nAzure Event Hub\nAzure Stream Analytics\nAzure Sunapse\nBitbucket\nChange Management\nClient Centricity\nCollaboration\nContinuous Integration and Continuous Delivery (CI/CD)\nData Architecture Patterns\nData Format Analysis\nData Governance\nData Modeling\nData Validation\nData Vault Modeling\nDatabase Schema Design\nDecision-Making\nDevOps\nDimensional Modeling\nGCP Big Table\nGCP BigQuery\nGCP Cloud Storage\nGCP DataFlow\nGCP DataProc\nGit\nGoogle Big Tabel\nGoogle Data Proc\nGreenplum\nHQL\nIBM Data Stage\nIBM DB2\nIndustry Standard Data Modeling (FSLDM)\nIndustry Standard Data Modeling (IBM FSDM))\nInfluencing\nInformatica IICS\nInmon methodology\nJavaScript\nJenkins\nKimball\nLinux - Redhat\nNegotiation\nNetezza\nNewSQL\nOracle Exadata\nPerformance Tuning\nPerl\nPlatform Update Management\nProject Management\nPySpark\nPython\nR\nRDD Optimization\nSantOs\nSaS\nScala Spark\nShell Script\nSnowflake\nSPARK\nSPARK Code Optimization\nSQL\nStakeholder Management\nSun Solaris\nSynapse\nTalend\nTeradata\nTime Management\nUbuntu\nVendor Management",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['azure data factory', 'oracle adf', 'azure databricks', 'presentation skills', 'decision making', 'hive', 'continuous integration', 'scala', 'ci/cd', 'pyspark', 'sql', 'spark', 'gcp', 'linux', 'jenkins', 'shell scripting', 'hadoop', 'bigquery', 'adb', 'snowflake', 'python', 'customer care', 'javascript', 'athena', 'aws']",2025-06-10 14:09:12
Data Engineer,Grid Dynamics,4 - 6 years,Not Disclosed,['Bengaluru'],"We are seeking a skilled Data Engineer & Data Analyst with over 4 years of experience to design, build, and maintain scalable data pipelines and perform advanced data analysis to support business intelligence and data-driven decision-making. The ideal candidate will have a strong foundation in computer science principles, extensive experience with SQL and big data tools, and proficiency in cloud platforms and data visualization tools.\nKey Responsibilities:\nDesign, develop, and maintain robust, scalable ETL pipelines using Apache Airflow, DBT, Composer (GCP), Control-M, Cron, Luigi, and similar tools.\nBuild and optimize data architectures including data lakes and data warehouses.\nIntegrate data from multiple sources ensuring data quality and consistency.\nCollaborate with data scientists, analysts, and stakeholders to translate business requirements into technical solutions.\nAnalyze complex datasets to identify trends, generate actionable insights, and support decision-making.\nDevelop and maintain dashboards and reports using Tableau, Power BI, and Jupyter Notebooks for visualization and pipeline validation.\nManage and optimize relational and NoSQL databases such as MySQL, PostgreSQL, Oracle, MongoDB, and DynamoDB.\nWork with big data tools and frameworks including Hadoop, Spark, Hive, Kafka, Informatica, Talend, SSIS, and Dataflow.\nUtilize cloud data services and warehouses like AWS Glue, GCP Dataflow, Azure Data Factory, Snowflake, Redshift, and BigQuery.\nSupport CI/CD pipelines and DevOps workflows using Git, Docker, Terraform, and related tools.\nEnsure data governance, security, and compliance standards are met.\nParticipate in Agile and DevOps processes to enhance data engineering workflows.\n\nRequired Qualifications:\n4+ years of professional experience in data engineering and data analysis roles.\nStrong proficiency in SQL and experience with database management systems such as MySQL, PostgreSQL, Oracle, and MongoDB.\nHands-on experience with big data tools like Hadoop and Apache Spark.\nProficient in Python programming.\nExperience with data visualization tools such as Tableau, Power BI, and Jupyter Notebooks.\nProven ability to design, build, and maintain scalable ETL pipelines using tools like Apache Airflow, DBT, Composer (GCP), Control-M, Cron, and Luigi.\nFamiliarity with data engineering tools including Hive, Kafka, Informatica, Talend, SSIS, and Dataflow.\nExperience working with cloud data warehouses and services (Snowflake, Redshift, BigQuery, AWS Glue, GCP Dataflow, Azure Data Factory).\nUnderstanding of data modeling concepts and data lake/data warehouse architectures.\nExperience supporting CI/CD practices with Git, Docker, Terraform, and DevOps workflows.\nKnowledge of both relational and NoSQL databases, including PostgreSQL, BigQuery, MongoDB, and DynamoDB.\nExposure to Agile and DevOps methodologies.\nExperience with at least one cloud platform:\nGoogle Cloud Platform (BigQuery, Dataflow, Composer, Cloud Storage, Pub/Sub)\nAmazon Web Services (S3, Glue, Redshift, Lambda, Athena)\nMicrosoft Azure (Data Factory, Synapse Analytics, Blob Storage)\n\nPreferred Skills:\nStrong problem-solving and communication skills.\nAbility to work independently and collaboratively in a team environment.\nExperience with service development, REST APIs, and automation testing is a plus.\nFamiliarity with version control systems and workflow automation.",Industry Type: IT Services & Consulting,Department: IT & Information Security,"Employment Type: Full Time, Permanent","['SQL', 'Pyspark', 'Azure', 'Data Engineering', 'Amazon Web Services', 'GCP', 'Hadoop', 'Spark', 'Google Cloud Platforms', 'AWS', 'Python']",2025-06-10 14:09:15
