job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Scientist - 25 To 30 lacs. Remote,Markelytics Limited,1 - 3 years,25-30 Lacs P.A.,[],"We only hire from Top Tier Universities including IITs, BITS, DCE/NSIT, ISI, Top NITs etc.\n\nThis role is only suitable for candidates with between 1 to 4 years experience. People with more than 4 years of experience need not apply.\n\nThis is an URGENT requirement. We are hiring for a UK based Fintech company (name is kept confidential). The company is seeking an early stage Data Scientist to join the team and support the design, development, and Machine Learning and AI use-cases. Your work will directly support strategic initiatives and improve business outcomes.\n\n\nJob Summary:\n\nWe are seeking a motivated Data Scientist to join our Data and AI team. The ideal candidate will assist in analysing complex datasets, building predictive models, and contributing to data-driven decision-making. This entry-level role is perfect for someone eager to apply their technical skills and grow in a collaborative, innovative environment.\n\n\nKey Responsibilities:\n\nCollect, clean, and preprocess structured and unstructured data from various sources\nPerform exploratory data analysis (EDA) to identify trends, patterns, and insights\nDevelop, test, and deploy basic machine learning models under senior team guidance\nCreate visualisations and dashboards to communicate findings to stakeholders\nCollaborate with cross-functional teams (e.g., product, engineering) to support business objectives\nAssist in maintaining data pipelines and ensuring data quality\nStay updated on industry trends and emerging tools in data science\n\n\nQualifications:\n\nBachelors degree in data science, Computer Science, Statistics, Mathematics, or a related field\n1-3 years of experience in data science or a related role (internships or academic projects count)\nProficiency in Python for data analysis (e.g., pandas, NumPy, scikit-learn)\nStrong analytical and problem-solving skills\nExcellent communication skills to explain technical concepts to non-technical audiences.\nUnderstanding of machine learning algorithms (e.g., regression, classification, clustering).\n\n\nNice to Have:\n\nInternship or project experience in data science or analytics\nExposure to Gen AI architectures (RAG, MCP etc.)\nExperience working with cloud platforms (e.g., AWS, GCP, Azure)\nExperience with SQL for data querying\nKnowledge of version control (e.g., Git)",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Science', 'Python', 'Algebra', 'Data Wrangling', 'Probability', 'Data Analysis', 'Mathematics', 'Data Processing', 'machine learning', 'Statistics']",2025-06-11 05:54:40
Data Scientist - L3,Wipro,3 - 5 years,Not Disclosed,['Bengaluru'],"Role Purpose\nThe purpose of the role is to define, architect and lead delivery of machine learning and AI solutions.\n\n\n\nDo\n1. Demand generation through support in Solution development\na. Support Go-To-Market strategy\ni. Contribute to development solutions, proof of concepts aligned to key offerings to enable solution led sales\nb. Collaborate with different colleges and institutes for research initiatives and provide data science courses\n2. Revenue generation through Building & operationalizing Machine Learning, Deep Learning solutions\na. Develop Machine Learning / Deep learning models for decision augmentation or for automation solutions\nb. Collaborate with ML Engineers, Data engineers and IT to evaluate ML deployment options\n3. Team Management\na. Talent Management\ni. Support on boarding and training to enhance capability & effectiveness\n\n\n\nDeliver\n\nNo.Performance ParameterMeasure\n1.Demand generation# PoC supported\n2.Revenue generation through deliveryTimeliness, customer success stories, customer use cases\n3.Capability Building & Team Management# Skills acquired\n\n\n\n\n\n\nMandatory Skills: Data Analysis.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'ML deployment', 'Deep learning models', 'Solution development', 'Talent Management', 'Machine Learning']",2025-06-11 05:54:42
Data Scientist - L3,Wipro,3 - 5 years,Not Disclosed,['Ramdurg'],"Role Purpose\nThe purpose of the role is to define, architect and lead delivery of machine learning and AI solutions.\nDo\n1. Demand generation through support in Solution development\na. Support Go-To-Market strategy\ni. Contribute to development solutions, proof of concepts aligned to key offerings to enable solution led sales\nb. Collaborate with different colleges and institutes for research initiatives and provide data science courses\n2. Revenue generation through Building & operationalizing Machine Learning, Deep Learning solutions\na. Develop Machine Learning / Deep learning models for decision augmentation or for automation solutions\nb. Collaborate with ML Engineers, Data engineers and IT to evaluate ML deployment options\n3. Team Management\na. Talent Management\ni. Support on boarding and training to enhance capability & effectiveness\nDeliver\n\nNo.Performance ParameterMeasure\n1.Demand generation# PoC supported\n2.Revenue generation through deliveryTimeliness, customer success stories, customer use cases\n3.Capability Building & Team Management# Skills acquired\n\n\nMandatory Skills: Data Analysis.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Analysis', 'python', 'team management', 'natural language processing', 'scikit-learn', 'ml deployment', 'machine learning', 'data engineering', 'artificial intelligence', 'sql', 'deep learning', 'tensorflow', 'data science', 'predictive modeling', 'statistical modeling', 'ml']",2025-06-11 05:54:44
Data Scientist,Dwplacesolutions,3 - 5 years,Not Disclosed,['Bengaluru'],We are seeking an experienced Data Scientist to join our team.\nThe ideal candidate will have a strong background in developing and deploying\nconversational AI solutions using Large Language Models (LLMs) and RASA\nframework.,Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Science', 'Machine Learning', 'Tensorflow', 'R', 'Artificial Intelligence', 'Natural Language Processing', 'Neural Networks', 'Chatbot', 'Deep Learning', 'Python']",2025-06-11 05:54:45
Hdfc Bank - Digital Banking - Data Scientist - Generative AI,Hdfc Bank,4 - 9 years,Not Disclosed,['Mumbai (All Areas)'],"Role - Digital Banking-Data Scientist-Digital Experience Analytics\n\nLocation - Mumbai\nGrade - Deputy Manager to Senior Manager\nMinimum 4 years experience\n\nJob Purpose:\nThe Data Scientist will design, develop and deploy advanced AI models to drive digital transformation, enhance customer experience, optimize operations and mitigate risks. This role requires a sound understanding of AI/ML techniques and their application to challenges such as customer engagement and process automation.",,,,"['Data Science', 'Artificial Intelligence', 'Machine Learning', 'Generative AI', 'Risk Analytics', 'Data Analytics']",2025-06-11 05:54:47
Data Scientist,"NTT DATA, Inc.",2 - 5 years,Not Disclosed,['Bengaluru'],"Your day at NTT DATA\nThe Senior Data Scientist is an advanced subject matter expert, tasked with taking accountability in the adoption of data science and analytics within the organization.\n\nThe primary responsibility of this role is to participate in the creation and delivery of data-driven solutions that add business value using statistical models, machine learning algorithms, data mining, and visualization techniques.\n\nWhat youll be doing\n\nKey Responsibilities:\nDesigns, develops, and programs methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate actionable insights and solutions for client services and product enhancement.\nDesigns and enhances data collection procedures to include information that is relevant for building analytic systems.\nResponsible for ensuring that data used for analysis is processed, cleaned and, integrally verified and build algorithms necessary to find meaningful answers.\nDesigns and codes software programs, algorithms, and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources\nProvides meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.\nDirects scalable and highly available applications leveraging the latest tools and technologies.\nAccountable for creatively visualizing and effectively communicating results of data analysis, insights, and ideas in a variety of formats to key decision-makers within the business.\nCreates SQL queries for the analysis of data and visualizes the output of the models.\nResponsible for ensuring that industry standards best practices are applied to development activities.\nKnowledge and Attributes:\nAdvanced understanding of data modelling, statistical methods and machine learning techniques.\nStrong ability to thrive in a dynamic, fast-paced environment.\nStrong quantitative and qualitative analysis skills.\nDesire to acquire more knowledge to keep up to speed with the ever-evolving field of data science.\nCuriosity to sift through data to find answers and more insights.\nAdvanced understanding of the information technology industry within a matrixed organization and the typical business problems such organizations face.\nStrong ability to translate technical findings clearly and fluently to non-technical team business stakeholders to enable informed decision-making.\nStrong ability to create a storyline around the data to make it easy to interpret and understand.\nSelf-driven and able to work independently yet acts as a team player.\nAcademic Qualifications and Certifications:\nBachelors degree or equivalent in Data Science, Business Analytics, Mathematics, Economics, Engineering, Computer Science or a related field.\nRelevant programming certification preferred.\nAgile certification preferred.\nRequired Experience:\nAdvanced demonstrated experience in a data science position in a corporate environment and/or related industry.\nAdvanced demonstrated experience in statistical modelling and data modelling, machine learning, data mining, unstructured data analytics, natural language processing.\nAdvanced demonstrated experience in programming languages (R, Python, etc.).\nAdvanced demonstrated experience working with and creating data architectures.\nAdvanced demonstrated experience with extracting, cleaning, and transforming data and working with data owners to understand the data.\nAdvanced demonstrated experience visualizing and/or presenting data for stakeholder use and reuse across the business.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['data science', 'R', 'data modelling', 'data mining', 'statistical modelling', 'machine learning', 'Python', 'SQL']",2025-06-11 05:54:48
GenAI Data Scientist,EXL,2 - 5 years,Not Disclosed,"['Noida', 'Gurugram', 'Bengaluru']","Job Summary\nWe are seeking a highly skilled Generative AI Data Scientist to design, develop, and deploy generative AI applications and models that can generate meaningful insights, creative business domain content, or solve domain-specific challenges. The ideal candidate will combine expertise in data science, machine learning, AI and natural language processing (NLP) with a passion for innovation and real-world applications.\nAs part of the EXL Digital AI R&D Innovation team, you will work as a Data Scientist in the Innovation unit supporting all EXL Business Units. You will be exposed to hundreds of different enterprise GenAI business use cases and help our clients create value architecting GenAI applications and solutions.",,,,"['GenAI', 'NLP', 'LLM', 'Natural Language Processing']",2025-06-11 05:54:50
Data Scientist,THERMAX,2 - 3 years,Not Disclosed,['Pune'],Job Details:\nWe are seeking a highly motivated and enthusiastic Junior Data Scientist with 2-3 years of experience to join our data science team. This role offers an exciting opportunity to contribute to both traditional Machine Learning projects for our commercial IoT platform and cutting-edge Generative AI initiatives.\n\nExperience,,,,"['Tensorflow', 'Manufacturing', 'Machine Learning', 'IOT', 'Python', 'Pytorch', 'Data Science', 'Aiml', 'Scikit-Learn', 'Ml']",2025-06-11 05:54:51
Data Scientist (Immediate To 15 days NP),Sais It Services,5 - 8 years,10-18 Lacs P.A.,"['Hyderabad', 'Chennai', 'Bengaluru']","Role & responsibilities :\n\nRequirements:\nStrong expertise in NLP, text summarization, semantic search, and LLM APIs.\nPractical experience with Amazon Bedrock, OpenAI, or Hugging Face transformers.\nFamiliar with prompt tuning and few-shot learning.\nPython (pandas, langchain, boto3, NumPy, etc.)",,,,"['Open AI', 'NLP', 'Design and Development', 'LLM APIs', 'Python', 'call transcripts', 'Amazon Bedrock']",2025-06-11 05:54:53
Data Scientist @ bangalore,MKS Vision,7 - 12 years,Not Disclosed,"['Hyderabad', 'Coimbatore']","MKS Vision Pvt Ltd\n\nAbout us:\nMKS Vision is a full spectrum of Information Technology and engineering service provider. We exist to provide increased efficiencies and flexibility that accelerate business performance by adapting the latest cutting-edge technologies for our customers. Our services bring tangible benefits to our customers. MKS Vision will assist you in adopting global services.\nWebsite: https://www.mksvision.com/\nJob Location: Coimbatore/Hyderabad\nRisk Data Scientist\nKnowledge of lending industry analytical processes related to (credit underwriting, collections, etc.)\nExperienced in the data science lifecycle (model specification, development, deployment, and validation)\nProficient in the use of modeling and machine learning techniques (logistic regression, gradient boosting, etc.), in SAS, Python or R\nStrong working exp in Power BI.\nProficient in SQL for data extraction, manipulation and cleanup, and the development of modeling datasets for development\nExperience in conducting data studies and retro studies using internal and external data for model validation\nExperience in developing project presentations across the project lifecycle (project specification, development, conclusions, and recommendations)\nExperience in development and maintenance of model documentation\nKnowledge of lending data systems and data structures (credit applications, loan origination, collections, payments, dialers, credit bureau data)\nAbility to generate analytical insights form model data, including identification of candidate variables, and development of new features.\nPreferred minimum 7+ years of experience, BS degree on computer science, management information systems, statistics, data science, etc., or similar experience.",Industry Type: FinTech / Payments,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Science', 'SAS', 'Credit Risk Modelling', 'Python', 'SQL', 'R', 'Power Bi', 'Risk Analytics', 'ETL', 'Data Standards', 'Risk Modeling', 'Credit Risk Analysis']",2025-06-11 05:54:54
Data Scientist - ML,Client Of EDGE,8 - 13 years,Not Disclosed,"['Hyderabad', 'Bengaluru', 'Delhi / NCR']","Our client is a India's marquee global technology company. They are an international flag-bearer of technical and managerial excellence. With offices around the globe, the company has a comprehensive presence across multiple segments of the IT product and service industries.\nWe are Seeking to identify a Data Scientist Engineer role, responsible for Leading the design, development, and deployment of advanced machine learning models and algorithms. Software engineering experience with Strong knowledge of machine learning frameworks (e.g., TensorFlow, PyTorch) and generative AI libraries., Understanding of C++ programming principles.\nLead the design, development, and deployment of advanced machine learning models and algorithms.\nTrain and fine-tune generative models on large datasets, optimizing model performance and efficiency.\nExperience of developing and deploying solutions on Nvidia or Intel software stacks will be an added advantage.\nExcellent problem-solving skills and the ability to work on complex, unstructured challenges.\nProficient Understanding of distributed Computing Principles. Working knowledge of frameworks such as accelerate, deepspeed, etc.\nExperience with hiring, mentoring and leading teams of ML engineers, data engineers, etc.\nConduct in-depth data analysis, feature engineering, and data pre-processing to extract meaningful insights.\nDevelop and execute data strategies to collect, process, and store data effectively.\nWork closely with data engineers and architects to ensure data availability and quality.\nCollaborate with cross-functional teams to develop AI-powered solutions that address business challenges and opportunities.\nEnsure the successful integration of AI models into production systems.\nStay up-to-date with the latest trends and advancements in data science and AI.\nDrive research initiatives to explore and implement innovative techniques and technologies.\nLead research initiatives to develop novel AI techniques and technologies.\nCommunicate findings, insights, and project progress to non-technical stakeholders in a clear and understandable manner.\nPublications or contributions to the field of CV, NLP or generative AI are a plus.\nYour Profile:\nAn Engineer with 5+ years of experience in Leading the design, development, and deployment of advanced machine learning models and algorithms.\nUnderstanding of C++ programming.\nStrong knowledge of machine learning frameworks (e.g., TensorFlow, PyTorch) and generative AI libraries.",Industry Type: Management Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['C++', 'Machine Learning', 'Data Scientist', 'AI', 'Development', 'Deployment']",2025-06-11 05:54:56
Specialist Data Scientist,NICE,8 - 11 years,Not Disclosed,['Pune'],"So, what’s the role all about?\nNICE provides state-of-the-art enterprise level AI and analytics for all forms of business communications between speech and digital.   We are a world class research team developing new algorithms and approaches to help companies with solving critical issues such as identifying their best performing agents, preventing fraud, categorizing customer issues, and determining overall customer satisfaction.  If you have interacted with a major contact center in the last decade, it is very likely we have processed your call. \nThe research group partners with all areas of NICE’s business to scale out the delivery of new technology and AI models to customers around the world that are tailored to their company, industry, and language needs.",,,,"['python', 'confluence', 'natural language processing', 'presentation skills', 'big data technologies', 'pyspark', 'microsoft azure', 'bert', 'machine learning', 'sql', 'tensorflow', 'data science', 'gcp', 'pytorch', 'machine learning algorithms', 'aws', 'big data', 'communication skills', 'statistics', 'jira']",2025-06-11 05:54:58
Data Scientist(0217),A Reputed Organization,5 - 10 years,Not Disclosed,"['Kolkata', 'Pune', 'Bengaluru']","Lead the design, development, and deployment of advanced machine learning models and algorithms.\nTrain and fine-tune generative models on large datasets, optimizing model performance and efficiency.\nStrong knowledge of machine learning frameworks (e.g., TensorFlow, PyTorch) and generative AI libraries., Understanding of C++ programming principles.\nExperience of developing and deploying solutions on Nvidia or Intel software stacks will be an added advantage.\nExcellent problem-solving skills and the ability to work on complex, unstructured challenges.\nProficient Understanding of distributed Computing Principles. Working knowledge of frameworks such as accelerate, deepspeed, etc.\nExperience with hiring, mentoring and leading teams of ML engineers, data engineers, etc.\nConduct in-depth data analysis, feature engineering, and data preprocessing to extract meaningful insights.\nDevelop and execute data strategies to collect, process, and store data effectively.\nWork closely with data engineers and architects to ensure data availability and quality.\nCollaborate with cross-functional teams to develop AI-powered solutions that address business challenges and opportunities.\nEnsure the successful integration of AI models into production systems.\nStay up-to-date with the latest trends and advancements in data science and AI.\nDrive research initiatives to explore and implement innovative techniques and technologies.\nLead research initiatives to develop novel AI techniques and technologies.\nCommunicate findings, insights, and project progress to non-technical stakeholders in a clear and understandable manner.\nPublications or contributions to the field of CV, NLP or generative AI are a plus.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Machine Learning', 'C++', 'Data Scientist', 'AI']",2025-06-11 05:54:59
Sr. Data Scientist-Stratup-Mid-Size companies Exp.@ Bangalore_Urgent,"A leader in this space, we deliver world...",8 - 13 years,Not Disclosed,['Bengaluru'],"Senior Data Scientist\n\nLocation: Onsite Bangalore\nExperience: 8+ years\n\nRole Overview\n\nWe are seeking a Senior Data Scientist with a strong foundation in machine learning, deep learning, and statistical modeling, with the ability to translate complex operational problems into scalable AI/ML solutions. In addition to core data science responsibilities, the role involves building production-ready backends in Python and contributing to end-to-end model lifecycle management. Exposure to computer vision is a plus, especially for industrial use cases like identification, intrusion detection, and anomaly detection.\n\nKey Responsibilities\n\nDevelop, validate, and deploy machine learning and deep learning models for forecasting, classification, anomaly detection, and operational optimization\nBuild backend APIs using Python (FastAPI, Flask) to serve ML/DL models in production environments\nApply advanced computer vision models (e.g., YOLO, Faster R-CNN) to object detection, intrusion detection, and visual monitoring tasks\nTranslate business problems into analytical frameworks and data science solutions\nWork with data engineering and DevOps teams to operationalize and monitor models at scale\nCollaborate with product, domain experts, and engineering teams to iterate on solution design\nContribute to technical documentation, model explainability, and reproducibility practices\n\n\nRequired Skills\n\nStrong proficiency in Python for data science and backend development\nExperience with ML/DL libraries such as scikit-learn, TensorFlow, or PyTorch\nSolid knowledge of time-series modeling, forecasting techniques, and anomaly detection\nExperience building and deploying APIs for model serving (FastAPI, Flask)\nFamiliarity with real-time data pipelines using Kafka, Spark, or similar tools\nStrong understanding of model validation, feature engineering, and performance tuning\nAbility to work with SQL and NoSQL databases, and large-scale datasets\nGood communication skills and stakeholder engagement experience\n\n\nGood to Have\n\nExperience with ML model deployment tools (MLflow, Docker, Airflow)\nUnderstanding of MLOps and continuous model delivery practices\nBackground in aviation, logistics, manufacturing, or other industrial domains\nFamiliarity with edge deployment and optimization of vision models\n\n\nQualifications\n\nMasters or PhD in Data Science, Computer Science, Applied Mathematics, or related field\n7+ years of experience in machine learning and data science, including end-to-end deployment of models in production",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['scikit-learn', 'time-series modeling', 'ML/DL libraries', 'data science', 'Python', 'Airflow', 'Kafka', 'MLflow', 'logistics', 'anomaly detection', 'aviation', 'SQL', 'PyTorch', 'NoSQL', 'MLOps', 'forecasting techniques', 'Docker', 'manufacturing', 'FastAPI', 'Spark', 'TensorFlow', 'Flask']",2025-06-11 05:55:01
Lead Data Scientist,R Systems International,8 - 10 years,Not Disclosed,"['Noida', 'Pune', 'Chennai']","Job Title: Lead Data Scientist\n\nWe are seeking a highly skilled and experienced Lead Data Scientist to join our dynamic team. In this role, you will be responsible for leading data-driven projects, mentoring junior data scientists, and guiding the organization in making strategic decisions based on data insights.\n\nKey Responsibilities:\n- Develop and implement advanced statistical models and algorithms to analyze complex data sets.\n- Collaborate with cross-functional teams to identify business opportunities and translate them into data-driven solutions.\n- Mentor and oversee a team of data scientists, providing guidance on best practices and techniques in data analysis and modeling.\n- Communicate findings and insights to stakeholders through presentations, reports, and visualizations.\n- Stay current with industry trends and emerging technologies in data science and analytics.\n- Design and implement experiments to validate models and hypotheses.\n- Ensure the quality and integrity of data throughout the analytic process.\n\nQualifications:\n- Master's. in Computer Science, Statistics, Mathematics, or a related field.\n- Proven experience as a Data Scientist, with a strong portfolio of successful projects.\n- Expertise in programming languages such as Python or R, as well as experience with machine learning frameworks.\n- Strong knowledge of statistical analysis and modeling techniques.\n- Excellent problem-solving skills and the ability to work with large and complex data sets.\n- Strong communication skills, with the ability to convey technical concepts to non-technical stakeholders.\n- Experience in leading and managing teams is a plus.\n\nWe offer a competitive salary, comprehensive benefits, and the opportunity to work in a collaborative and innovative environment. If you are passionate about data science and eager to make a significant impact, we would love to hear from you.",,,,"['algorithms', 'python', 'modeling', 'data analysis', 'mathematics', 'data processing', 'data pipeline', 'machine learning', 'data collection', 'analytics', 'r', 'data science', 'computer science', 'predictive modeling', 'science', 'machine learning algorithms', 'programming', 'reporting', 'statistics', 'communication skills']",2025-06-11 05:55:03
"Data Scientist with EDA, Python, SQL and Business Analysis",Cognizant,8 - 11 years,Not Disclosed,['Hyderabad'],"Job Summary\nWe are seeking a highly skilled Data Scientist with Business analysis with good hands on in Python , SQL , EDA Data Visualization with 3 to 12+ years of experience\nKey Responsibilities:\nPerform exploratory data analysis (EDA) to uncover trends, patterns, and insights.\nDevelop and maintain dashboards and reports to visualize key business metrics.\nCollaborate with cross-functional teams to gather requirements and deliver data-driven solutions.",,,,"['python', 'eda', 'data analysis', 'data management', 'modeling', 'analytical', 'data manipulation', 'query', 'predictive analytics', 'microsoft azure', 'business analysis', 'cloud platforms', 'business analytics', 'machine learning', 'dashboards', 'sql', 'analytics', 'gcp', 'statistical modeling', 'data visualization', 'aws']",2025-06-11 05:55:04
