job_title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Machine Learning Engineer,CompIndia,0 - 1 years,Not Disclosed,"['Tirupati', 'Chennai( Aminjikarai )']",Value-Added Skills:\nCompleted Courses in Python & ML\nCompleted Academic projects involving ML\nParticipated in Kaggle competitions and Hackathons\nBuilt ML projects with real-world datasets,Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Machine Learning', 'Python', 'Kaggle', 'Hackathon']",2025-06-10 15:33:23
Machine Learning Engineer,goML,3 - 8 years,Not Disclosed,[],"Looking for a culture to thrive & build a rewarding career for yourself, join the core team of young hustlers building the next generation of Machine Learning platform & services. You will develop training and deployment pipelines for machine learning, implement model compression algorithms, and productionize machine learning research solving challenging business problems.\n\nWe are Hiring Machine Learning Engineers at goML!\n\nKey Responsibilities:\nDesign and develop generative AI models using techniques like RAG, transformers, and other relevant approaches.\nFine-tune pre-trained LLMs for specific tasks and domains.\nConduct research on new techniques for improving the performance and capabilities of generative AI models.\nApply software engineering rigor and best practices to machine learning /Generative AI pipelines.\nEvaluate and analyse the performance of ML/generative AI models.\nStay up to date on the latest advancements in generative AI research.\nFacilitate the development and deployment of proof-of-concept Generative AI systems.\n\nQualifications:\nBachelors/Masters degree in Computer Science, Machine Learning, Artificial Intelligence, or a related field.\n3-8 years of experience in generative AI or related fields.\nExperience in building data pipelines, deploying ML/GenAI models in production, and monitoring and maintaining their performance.\nStrong programming skills in Python.\nFamiliarity with RAG and other techniques for building generative models.\nExtensive experience with Git, Docker and a good understanding of Linux for managing servers.\nExperience with cloud-based ecosystems, especially AWS ML/GenAI services.\nExposure to ML/GenAI frameworks and tools.\nExcellent communication and collaboration skills.\nAbility to work independently and in a team-oriented environment.\nMethodical and meticulous towards work and planning.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Generative AI', 'Machine Learning', 'AWS', 'Natural Language Processing', 'Computer Vision', 'Deep Learning']",2025-06-10 15:33:26
Machine Learning Engineer - Recommender Systems,Thomson Reuters,3 - 8 years,Not Disclosed,['Bengaluru'],"Senior Machine Learning Engineer - Recommender Systems\n\nJoin our team at Thomson Reuters and contribute to the global knowledge economy. Our innovative technology influences global markets and supports professionals worldwide in making pivotal decisions. Collaborate with some of the brightest minds on diverse projects to craft next-generation solutions that have a significant impact. As a leader in providing intelligent information, we value the unique perspectives that foster the advancement of our business and your professional journey.\n\nAre you excited about the opportunity to leverage your extensive technical expertise to guide a development team through the complexities of full life cycle implementation at a top-tier companyOur Commercial Engineering team is eager to welcome a skilled Senior Machine Learning Engineer to our established global engineering group. Were looking for someone enthusiastic, an independent thinker, who excels in a collaborative environment across various disciplines, and is at ease interacting with a diverse range of individuals and technological stacks. This is your chance to make a lasting impact by transforming customer interactions as we develop the next generation of an enterprise-wide experience.\n\nAbout the Role:\n\nAs a Machine Learning Engineer, you will:\n\nSpearhead the development and technical implementation of machine learning solutions, including configuration and integration, to fulfill business, product, and recommender system objectives.\n\nCreate machine learning solutions that are scalable, dependable, and secure.\n\nCraft and sustain technical outputs such as design documentation and representative models.\n\nContribute to the establishment of machine learning best practices, technical standards, model designs, and quality control, including code reviews.\n\nProvide expert oversight, guidance on implementation, and solutions for technical challenges.\n\nCollaborate with an array of stakeholders, cross-functional and product teams, business units, technical specialists, and architects to grasp the project scope, requirements, solutions, data, and services.\n\nPromote a team-focused culture that values information sharing and diverse viewpoints.\n\nCultivate an environment of continual enhancement, learning, innovation, and deployment.\n\n\nAbout You:\n\nYou are an excellent candidate for the role of Machine Learning Engineer if you possess:\n\n\nAt least 3 years of experience in addressing practical machine learning challenges, particularly with Recommender Systems, to enhance user efficiency, reliability, and consistency.\n\nA profound comprehension of data processing, machine learning infrastructure, and DevOps/MLOps practices.\n\nA minimum of 2 years of experience with cloud technologies (AWS SageMaker, AWS is preferred), including services, networking, and security principles.\n\nDirect experience in machine learning and orchestration, developing intricate multi-tenant machine learning products.\n\nProficient Python programming skills, SQL, and data modeling expertise, with DBT considered a plus.\n\nFamiliarity with Spark, Airflow, PyTorch, Scikit-learn, Pandas, Keras, and other relevant ML libraries.\n\nExperience in leading and supporting engineering teams.\n\nRobust background in crafting data science and machine learning solutions.\n\nA creative, resourceful, and effective problem-solving approach.\n\n\n#LI-HG1\n\nWhat’s in it For You\n\n\n\nHybrid Work Model We’ve adopted a flexible hybrid working environment (2-3 days a week in the office depending on the role) for our office-based roles while delivering a seamless experience that is digitally and physically connected.\n\n\nFlexibility & Work-Life Balance: Flex My Way is a set of supportive workplace policies designed to help manage personal and professional responsibilities, whether caring for family, giving back to the community, or finding time to refresh and reset. This builds upon our flexible work arrangements, including work from anywhere for up to 8 weeks per year, empowering employees to achieve a better work-life balance.\n\n\nCareer Development and Growth: By fostering a culture of continuous learning and skill development, we prepare our talent to tackle tomorrow’s challenges and deliver real-world solutions. Our Grow My Way programming and skills-first approach ensures you have the tools and knowledge to grow, lead, and thrive in an AI-enabled future.\n\n\nIndustry Competitive Benefits We offer comprehensive benefit plans to include flexible vacation, two company-wide Mental Health Days off, access to the Headspace app, retirement savings, tuition reimbursement, employee incentive programs, and resources for mental, physical, and financial wellbeing.\n\n\nCulture: Globally recognized, award-winning reputation for inclusion and belonging, flexibility, work-life balance, and more. We live by our valuesObsess over our Customers, Compete to Win, Challenge (Y)our Thinking, Act Fast / Learn Fast, and Stronger Together.\n\n\nSocial Impact Make an impact in your community with our Social Impact Institute. We offer employees two paid volunteer days off annually and opportunities to get involved with pro-bono consulting projects and Environmental, Social, and Governance (ESG) initiatives.\n\n\nMaking a Real-World Impact:We are one of the few companies globally that helps its customers pursue justice, truth, and transparency. Together, with the professionals and institutions we serve, we help uphold the rule of law, turn the wheels of commerce, catch bad actors, report the facts, and provide trusted, unbiased information to people all over the world.\n\n\nAbout Us\n\nThomson Reuters informs the way forward by bringing together the trusted content and technology that people and organizations need to make the right decisions. We serve professionals across legal, tax, accounting, compliance, government, and media. Our products combine highly specialized software and insights to empower professionals with the data, intelligence, and solutions needed to make informed decisions, and to help institutions in their pursuit of justice, truth, and transparency. Reuters, part of Thomson Reuters, is a world leading provider of trusted journalism and news.\n\nWe are powered by the talents of 26,000 employees across more than 70 countries, where everyone has a chance to contribute and grow professionally in flexible work environments. At a time when objectivity, accuracy, fairness, and transparency are under attack, we consider it our duty to pursue them. Sound excitingJoin us and help shape the industries that move society forward.\n\nAs a global business, we rely on the unique backgrounds, perspectives, and experiences of all employees to deliver on our business goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity Employer providing a drug-free workplace.\n\nWe also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law. More information on requesting an accommodation here.\n\nLearn more on how to protect yourself from fraudulent job postings here.\n\nMore information about Thomson Reuters can be found on thomsonreuters.com.",Industry Type: Advertising & Marketing,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['python', 'machine learning', 'cloud technologies', 'sql', 'data modeling', 'natural language processing', 'scikit-learn', 'airflow', 'data processing', 'aws sagemaker', 'pandas', 'deep learning', 'recommender systems', 'data science', 'spark', 'devops', 'pytorch', 'keras', 'code review', 'aws', 'win', 'ml']",2025-06-10 15:33:29
Machine Learning Engineer (Search),Insider,2 - 5 years,Not Disclosed,[],"Before jumping in on all the information about the role and what you can bring to the table, let us introduce ourselves real quick.\n\nAbout us\n\nWe are Insider, a B2B SaaS company that drives growth for its clients around the world. How are we achieving this? We are the #1 AI-native platform for Customer Experience and Marketing offers marketers a single platform to deliver unique experiences per person, drive profitable growth, and unleash peak productivity and efficiency. Our platform connects data across channels, predicts future behavior with AI, and individualizes experiences from a single platform.\n\nWe have just celebrated our $500M Series E funding round, led by General Atlantic . Before this, we ve unlocked unicorn status following our Series D round. We are backed by top-notch investors, including Sequoia Capital, QIA, Riverwood, and Endeavor Catalyst , and trusted by 1200+ brands from high-growth startups to the most prestigious Fortune 500 companies such as Samsung, Coca-Cola, Nike, L Oreal, Singapore Airlines, Virgin, Nestle, Nissan, Lenovo, Puma, IKEA, Allianz, Dominos, CNN, and the list goes on.\n\nHaving unlocked unicorn status, Insider was congratulated for becoming one of the only woman-founded, women-led B2B SaaS unicorns in the world, to achieve $200M in CARR (Committed Annual Recurring Revenue). Insider was named a leader in The Forrester Wave for Cross-Channel Campaign Management 2021, and Leader in the IDC MarketScape: Worldwide Omnichannel Marketing Platforms for B2C Enterprises 2023 Assessment. The company has been recognized in The Top 1% of all software companies worldwide in G2 s 2024 Software Awards , and named in The Top 10 Best Software Products with the most #1 rankings alongside other software legends like Google, Zoom, and Monday.com . According to G2 s Spring 24 reports. Insider is also the #1 G2 Leader in 6+ categories , including Customer Data Platforms (CDP), Personalization Engines, Personalization Software, Mobile Marketing, Customer Journey Analytics, and e-commerce Personalization.\n\nWhen our team founded Insider, they not only sought to create a product company but also to build the most socially progressive technology community in the world. Through our corporate social responsibility initiatives like 100Projects SheCodes, SheLeads, and SheMarkables, our community has committed to scaling its impact into our communities across 27+ countries, spearheading transformative projects in areas such as health, education, farming, animal rights, and increasing the proportional representation of women in STEM careers.\n\nBehind all these achievements, there is an exceptionally talented and passionate team across 27+ countries that moves fast and agile, creates cutting-edge products, and focuses on making an impact. If you want to join us on this journey, just keep reading.\n\nAnd now? Now we are looking for a Machine Learning Engineer who wants to take their career one step further. If you think you are one of those people, here you will have the chance to work with the worlds leading brands with Artificial Intelligence & Machine Learning technologies . Right now, while you are reading this, we are sending an average of 2.2 billion requests and almost 2 billion instant notifications to more than 450 servers a day . On the Artificial Intelligence and Predictive side, we have more than 100 TB of historical data . We do not wait for jobs or opportunities to come to our feet, we create them. We have now reached 25% of global users . If all these interests you, read on for more!\n\nOur Engineers and Software Developers always think with an innovative perspective, taking advantage of the inexhaustible power of the digital world. They create impressive and intelligent products like a true artist. Our Product and Development teams are located in our Istanbul office, so we produce and develop the technology we export to the world in our own country . As Insider, we believe in cooperation and adapting the innovations brought by technology by acting fast . We work closely with other Departments with agile teams, and we are not afraid of getting our hands dirty . As we said; we do not wait for jobs or opportunities to come to our feet, we create them ourselves. You can check our Tech Stacks here !: https: / / www.stackshare.io / companies / useinsider\n\nHeres what defines our Search team:\nAt Insider, we re building AI-powered systems that make product discovery faster, more relevant, and deeply personalized. From semantic search to suggestions, from merchandising to analytics, our products are driven by impactful AI/ML techniques.\nWe believe in M-shaped development culture: engineers with depth in few core areas and curiosity to expand across the stack. Youll collaborate with different functions and be hands-on across the full stack: from data and modeling to software systems and observability. You ll grow quickly, owning meaningful pieces of the products with ultimate support from experienced engineers and scientists around you.\nA Machine Learning Engineer in Insider day in and day out:\nDesign, build and release AI products/features that solve real user problems\nDesign and implement streaming/batch data pipelines to support training and inference\nWrite production-ready code, and move it to production with the help of cloud services and CI/CD techniques\nContinuously monitor and improve the quality and performance of the systems\nLearn by doing while owning real problems and demonstrating end-to-end ownership through all the system\nWe want you to join us while we are taking a step into the future if you likely have:\nStrong problem-solving skills and critical thinking ability combined with a growth mindset\nSolid understanding of data structures, algorithms, and object-oriented programming\nExperience with data analysis and management\nExposure to AI/ML concepts: Supervised Learning, NLP, Embeddings, Transformers, Computer Vision, Information Retrieval, LLMs, RAG, Agents, etc.\nInterest in building end-to-end products; not just models or a piece of code of a huge system\n\nand it would be a strong plus if you have any of below:\nInvolvement in academic projects leveraging AI/ML concepts\nFamiliarity with Backend/API development or cloud services (AWS/GCP/Azure)\nA story to tell about a real-world problem solving or business-related achievement\nWhat we value:\nCuriosity and initiative you love to figure things out and solve complex problems\nCollaborative ownership and team/product-first approach\nBreadth and depth you re excited to grow into M-shaped product engineer\nSelf-organization and full ownership through real-world impact\nA strong team that ships and learns together\nContinuous mentorship and technical coaching\nWhile exporting our technology to the world, we also offer you:\nTech Talks with famous and groundbreaking people from the software world, Dev Talks where our Software Developers talk about their career steps, and many events where groundbreaking ideas are discussed,\nHackathons we organize inside that push the boundaries, programming challenges, and coding competitions,\nfree access to exclusive services such as Laracasts, Egghead, LinkedIn Learning, Blinkist, Masterclass, and Spotify,\nInclusive Private Health Insurance,\nSmart Work Model side benefits to support food and bill expenses,\nThe infamous Team Activities that are bursting with fun,\nNo Dress code! This is a fast and innovative startup, you can wear whatever you want.\nRemote Work! Work anywhere youd like in Turkey.\n\nWe provide equal opportunity in a zero-discrimination workplace and not just welcome but also embrace everyone without regard to sex, race, color, nationality, religion, gender identity, sexual orientation, disability status, citizenship, or marital status.\n\nPlease follow Insider on LinkedIn , Instagram , Youtube, and Medium !",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Computer vision', 'Data analysis', 'Backend', 'Campaign management', 'Coding', 'Artificial Intelligence', 'Machine learning', 'Agile', 'Data structures', 'Analytics']",2025-06-10 15:33:31
Machine Learning Engineer,Target,4 - 9 years,Not Disclosed,['Bengaluru'],"About us:\n\nWorking at Target means helping all families discover the joy of everyday life. We bring that vision to life through our values and culture. Learn more about Target here .\n\n\n\nWe are building Machine Learning Platform to enable MLOPs capabilities to help Data scientists and ML engineers at Target to implement ML solutions at scale. It encompasses building the Featurestore, Model ops, experimentation, iteration, monitoring, explainability, and continuous improvement of the machine learning lifecycle. You will be part of a team building scalable applications by leverage latest technologies. Connect with us if you want to join us in this exiting journey.\n\n\n\n\n\n\n\nAs a Engineer, you ll take the lead as you\n\nYou will build applications for Target s MLPlatform to enable capabilities to help data scientists, ML engineers and Data engineers at Target . You will be part of a team building highly scalable, event driven applications and leverage technologies. You understand Target's business and technical environments, resolve complex challenges via technical solutions as well as be a significant code contributor, manage software development cycle, drive best practices and ensure development of high-quality code with compliance & security standards. The Engineer is a practitioner of rapid prototyping and Agile, DevOps, CI/CD, test-driven development and stays current with new technology to be able to assess viability and applicability to Target's business and technical environments.\n\n\n\n\n\nTech stack Java, SpringBoot, Microservices, Python, Cassandra, Elastic Search, Postgres, Kafka, Docker, CICD, GCP cloud skills, GCP Machine Learning Engineer skills , GCP VertexAI skills\n\n\n\n\n\nAbout you:\n\n4 year degree or equivalent experience\n\n1.5+ years of software development experience\n\nExperience in building applications using JVM languages like Java, Kotlin\n\nExposure in building high-performance scalable APIs.\n\nGood to have experience in building Python applications, Fast API etc\n\nGood to have Machine Learning Engineer skills\n\nHaving GCP cloud skills, GCP Machine Learning Engineer skills , GCP VertexAI skills would be added advantage\n\nExperience in microservices, Spring Boot, cloud development, NoSQL databases, and event driven architecture\n\nExperience with NoSQL technologies Cassandra, Elastic search, MongoDB is a plus\n\nDeep experience writing unit and functional tests and test-driven development\n\nExperience building CI/CD pipelines\n\nStrong problem solving and debugging skills",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['software development', 'software testing', 'functional testing', 'java', 'debugging', 'jvm', 'continuous integration', 'python', 'kotlin', 'ci/cd', 'machine learning', 'microservices', 'docker', 'nosql', 'spring boot', 'elastic search', 'postgresql', 'cassandra', 'gcp', 'devops', 'kafka', 'agile', 'api', 'mongodb']",2025-06-10 15:33:34
Machine Learning Engineer,Adobe,12 - 15 years,Not Disclosed,[],"The engineer will be part of a team working on the development, operations and support of Adobe s AI Platform team. They will be responsible for the design, architecture and development of new features and maintenance of existing features. They will also handle all phases of development, from early specs and definition to release. They are encouraged to be hands-on problem solver and we'll conversant in analyzing, architecting and implementing Golang/python-based world class high-quality software. Prior experience on ML solutions and cloud platform services, workflow orchestrators, data pipeline solutions would be a plus.\n\nWhat you'll Do\nThis is an individual contributor position.\nHands on product/solution development knowledge are a must.\nThe position involves conceptualization of a product, design, development, debugging/triaging, deployment at scale, monitoring, analyzing, etc\nPlanning, effort estimation and risk analysis of a project.\nThe incumbent will plan, evaluate industry alternatives, design and drive new components, solutions, workflow, features, etc\nShould take the initiative to drive frugality through optimizations without compromising stability or resiliency.\n  Requirements\nbachelors / masters degree in engineering.\n12+ years of relevant industry experience.\n3+ years of experience as a lead/architect.\nA proven expertise with building large scale platforms on Kubernetes.\nProven programming skills with languages such as python and go-lang.\nExperience of the latest ML development tools.\nTrack record of delivering cloud-scale, data-driven products, and services that are widely adopted with large customer bases\nExposure to container runtime environments\nExperience in building, deploying, and managing infrastructures in public clouds (specifically AWS)",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Debugging', 'Machine learning', 'Cloud', 'Conceptualization', 'Programming', 'Product design', 'Adobe', 'Monitoring', 'Python']",2025-06-10 15:33:36
Machine Learning R&D Engineer,Welocalize,6 - 10 years,Not Disclosed,['Noida'],"The Machine Learning R&D Engineer role is responsible for the design, development and implementation of machine learning solutions to serve our organization. This includes ownership or oversight of projects from conception to deployment with appropriate AWS services, Docker, MLFlow, and other. The role also includes responsibility for following best practices with which to optimize and measure the performance of our models and algorithms against business goals.\n\nYou can apply directly using the link below:",,,,"['Cloud Deployment', 'Natural Language Processing', 'Machine Learning', 'Coding', 'Python', 'Java', 'C++', 'Artificial Intelligence', 'Model Building', 'Research And Development', 'Aiml', 'Microsoft Azure', 'Deploying Models', 'AWS']",2025-06-10 15:33:39
Staff Machine Learning Engineer,Zscaler Softech,4 - 8 years,Not Disclosed,['Bengaluru'],"About Zscaler\nServing thousands of enterprise customers around the world including 40% of Fortune 500 companies, Zscaler (NASDAQ: ZS) was founded in 2007 with a mission to make the cloud a safe place to do business and a more enjoyable experience for enterprise users. As the operator of the world’s largest security cloud, Zscaler accelerates digital transformation so enterprises can be more agile, efficient, resilient, and secure. The pioneering, AI-powered Zscaler Zero Trust Exchange™ platform, which is found in our SASE and SSE offerings, protects thousands of enterprise customers from cyberattacks and data loss by securely connecting users, devices, and applications in any location.\nWhat We're Looking for (Minimum Qualifications)\nWhat Will Make You Stand Out (Preferred Qualifications)",,,,"['algorithms', 'kubernetes', 'orchestration', 'anomaly detection', 'networking', 'tools', 'sql', 'cloud', 'tensorflow', 'data science', 'end', 'software engineering', 'ml', 'architecture', 'python', 'software testing', 'airflow', 'time series', 'machine learning', 'r', 'ml algorithms', 'production processes', 'metrics', 'agile', 'statistics']",2025-06-10 15:33:42
Staff Data Engineer - Machine Learning,Netradyne,5 - 8 years,22.5-35 Lacs P.A.,['Bengaluru'],"Role and Responsibilities:\n\nYou will be embedded within a team of machine learning engineers and data scientists; responsible for building and productizing generative AI and deep learning solutions. You will:\nDesign, develop and deploy production ready scalable solutions that utilizes GenAI, Traditional ML models, Data science and ETL pipelines\nCollaborate with cross-functional teams to integrate AI-driven solutions into business operations.\nBuild and enhance frameworks for automation, data processing, and model deployment.\nUtilize Gen-AI tools and workflows to improve the efficiency and effectiveness of AI solutions.\nConduct research and stay updated with the latest advancements in generative AI and related technologies.\nDeliver key product features within cloud analytics.\n\nRequirements:\n\nB. Tech, M. Tech or PhD in Computer Science, Data Science, Electrical Engineering, Statistics, Maths, Operations Research or related domain.\nStrong programming skills in Python, SQL and solid fundamentals in computer science, particularly in algorithms, data structures, and OOP.\nExperience with building end-to-end solutions on AWS cloud infra.\nGood understanding of internals and schema design for various data stores (RDBMS, Vector databases and NoSQL).\nExperience with Gen-AI tools and workflows, and large language models (LLMs).\nExperience with cloud platforms and deploying models at scale.\nStrong analytical and problem-solving skills with a keen attention to detail.\nStrong knowledge of statistics, probability, and estimation theory.\n\nDesired Skills:\n\nFamiliarity with frameworks such as PyTorch, TensorFlow and Hugging Face.\nExperience with data visualization tools like Tableau, Graphana, Plotly-Dash.\nExposure to AWS services like Kinesis, SQS, EKS, ASG, lambda etc.\nExpertise in at least one popular Python web-framework (like FastAPI, Django or Flask).\nExposure to quick prototyping using Streamlit, Gradio, Dash etc.\nExposure to Big Data processing (Snowflake, Redshift, HDFS, EMR)",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Engineering', 'AWS', 'Generative Artificial Intelligence', 'Python', 'Big Data Technologies']",2025-06-10 15:33:43
Machine Learning Engineer,Adobe,14 - 19 years,Not Disclosed,"['Noida', 'Bengaluru']","The AI Foundation Team at Adobe Express aims to develop a groundbreaking AI stack using internal and external technologies to improve feature speed and quality. Develop ML models and services, collaborate with teams, improve user experience at Adobe Express.\nWhat Youll Do\nResearch, design, and implement advanced ML models and pipelines for training and inference at scale, including techniques in computer vision, NLP, deep learning, and generative AI.\nIntegrate Large Language Models (LLMs) and agent-based frameworks to support multimodal creative workflows, enabling rich, context-aware content generation and dynamic user experiences.\nCollaborate with multi-functional teams to translate product requirements into ML solutions, iterating from proof-of-concept to fully productionized services.\nDevelop robust platforms for continuous model training, experimentation, A/B testing, and monitoring, ensuring that model quality and relevance remain consistently high.\nLeverage distributed computing technologies and cloud infrastructures to handle large-scale data processing, feature engineering, and real-time inference, optimizing for performance and cost-efficiency.\nImplement reliable APIs and microservices that serve ML models to end users, ensuring alignment to standard methodologies in security, compliance, scalability, and maintainability.\nStay ahead of emerging ML research, tools, and frameworks, evaluating and integrating new technologies such as sophisticated LLMs, reinforcement learning-based agents, and innovative inference optimization techniques.\nIn the near future, we will expand the model coverage to include more creative tasks. We will also improve the model architectures to achieve better latency and accuracy. Additionally, we will integrate federated learning or domain adaptation strategies to reach diverse audiences.\nBasic Qualifications:\nPhD or Master s or Bachelor s in Computer Science or equivalent experience, ML, Applied Mathematics, Data Science, or a related technical field.\n14+years of industry experience.\nProficiency in Python and Java for ML model development and systems integration.\nHands-on experience with deep learning frameworks, including TensorFlow and PyTorch.\nDemonstrated experience working with LLMs and agent frameworks to develop advanced AI-based experiences.\nProficiency in computer vision and NLP techniques for multimodal content understanding and generation.\nWork experience in Creative Domains, Imaging Domains will be highly useful.\nExperience in developing and deploying RESTful web services and microservices architectures for applications involving ML.\nProficiency with UNIX environments, Git for version control, and Jenkins for CI/CD processes.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['Unix', 'Computer science', 'Computer vision', 'Version control', 'GIT', 'Machine learning', 'Data processing', 'Adobe', 'Monitoring', 'Python']",2025-06-10 15:33:46
