title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Scientist,Globussoft,0 - 1 years,2.5-3 Lacs P.A.,['Bengaluru'],"Key Responsibilities\n\nLead research initiatives to improve OCR accuracy across diverse document types and languages\nTrain and fine-tune LLMs using domain-specific data to enhance performance in specialized contexts\nDevelop techniques to scale LLMs efficiently for high-volume production environments\nDesign and implement novel approaches to model optimization and evaluation\nCollaborate with cross-functional teams to integrate AI solutions into production systems\nStay current with the latest research and incorporate state-of-the-art techniques\nDocument methodologies, experiments, and findings for both technical and non-technical audiences\n\nRequired Qualifications\n\nPhD in Computer Science, Machine Learning, AI, or a related field (completed within the last year)\nStrong understanding of deep learning architectures, particularly transformer-based models\nExperience with OCR systems and techniques for improving text recognition accuracy\nProficiency in Python and deep learning frameworks (PyTorch, TensorFlow, or JAX)\nDemonstrated ability to implement and adapt research papers into working code\nExcellent problem-solving skills with a methodical approach to experimentation\nStrong communication skills to explain complex technical concepts clearly",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Python', 'Pyspark', 'SQL']",2025-07-01 05:46:50
AI/ML Data Analyst- Visakhapatnam Port Authority,National Institute for Smart Government (NISG),3 - 5 years,17-19 Lacs P.A.,['Visakhapatnam'],"Position /Title: AI / ML Data Analyst\nNos. required: 01 (One)\nLocation: Visakhapatnam Port Authority (VPA)\nMode of EmploymentContractual-Full Time\nDuration of Employment: 01 year (extendable on mutual consent)\n\nJob descriptionKey Responsibilities -\nAnalyse and interpret large datasets generated from port operations, including cargo handling, logistics, and vessel traffic.\nDevelop predictive models to optimize cargo throughput and reduce delays.\nWork with the IT and operations teams to integrate AI solutions into existing systems.\nProvide data-driven insights to improve decision-making in areas like port efficiency and resource allocation.\nCreate reports and visualizations to communicate findings to management.\nEnsure compliance with data security and privacy regulations.\n\nEducational Qualifications:\n04-year Bachelor's degree in Computer Science, Information Technology, or a related field.\nA Master's degree or higher in Data Science, Machine Learning or a relative field is often preferred.\n\nCertifications (anyone):\nCisco Certified Network Associate (CCNA).\nCertification in Data Science / Machine Learning - Google, IBM Data Science Professional Certificate.\nMicrosoft Certified: Azure AI Engineer Associate.\nSAS Certified Data Scientist, or similar.\n\nSkills & Experience:\nTechnical Skills:\nProgramming: Proficiency in programming languages such as Python, R, or SQL. Familiarity with libraries like Pandas, NumPy, and Scikit-learn for data manipulation and machine learning.\nData Analysis: Strong experience in statistical analysis, data cleaning, and data visualization. Knowledge of tools like Tableau, Power BI for creating visualizations.\nMachine Learning: Understanding of machine learning concepts and algorithms (e.g., regression, classification, clustering, decision trees, etc). Hands-on experience building and tuning models.\nData Wrangling: Experience with large datasets, including data extraction, transformation, and loading (ETL). Familiarity with databases (SQL, NoSQL) and data warehousing solutions.\nTools and Frameworks: Experience with machine learning frameworks like TensorFlow, or similar. Familiarity with cloud platforms (AWS, Azure, Google Cloud) for deploying machine learning models.\nSoft Skills:\nAnalytical Thinking: Strong analytical skills to understand complex data sets and derive actionable insights.\nProblem-Solving: Ability to translate business problems into data analysis or machine learning tasks.\nCommunication: Strong verbal and written communication skills to explain technical results to non-technical stakeholders.\nExperience:\nMid-Level: 3-5 years of experience working as a data analyst, data scientist, or in a similar role with hands-on experience in machine learning.\nIndustry Knowledge: Experience in Ports / Maritime specific industries preferred.\nProject Experience:\nReal-World Projects: Demonstrated experience in working on real-world data analysis or machine learning projects, which may include internships, or personal projects.\nPortfolio: A portfolio showcasing previous work, including data analysis reports, machine learning models, and visualizations.\nPreferred Experience:\nExperience working with unstructured data (e.g., text, images) and applying machine learning techniques to extract insights.\nFamiliarity with A/B testing, experimental design, or other methodologies for measuring the impact of data-driven decisions.\nCollaboration experience with cross-functional teams.\n\n\n\n\nKINDLY NOTE: APPLICATION ARE ACCEPTED ON OR BEFORE JULY 5th 2025 ONLY.",Industry Type: Management Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Temporary/Contractual","['Data Wrangling', 'Azure Cloud', 'ETL', 'SQL', 'Python', 'Data Handling', 'Data Analysis', 'Machine Learning', 'AWS']",2025-07-01 05:46:52
Data Scientist,PwC India,7 - 11 years,Not Disclosed,['Mumbai (All Areas)'],Job Role : Data scientist\n\nJOB TYPE: Full Term Employment\n\nLOCATION: Mumbai\n\nImmediate joiners preferred.,,,,"['Data Science', 'Aiml', 'Python', 'Pytorch', 'Pyspark', 'Genrative Ai', 'SLM', 'Artificial Intelligence', 'Bert', 'SQL']",2025-07-01 05:46:54
Data Scientist Gen AI,RK HR MANAGEMENT,4 - 8 years,9.5-15 Lacs P.A.,['Ahmedabad'],"Data Scientist—Generative AI: Design, finetune & deploy LLMs, GANs & diffusion models. Build RAG pipelines with FAISS/Pinecone; use Python, PyTorch/TensorFlow, and Hugging Face. Create ML pipelines, ensure model ethics, and deploy via cloud.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Generative Ai', 'Data Science', 'RAG', 'Diffusion Models', 'Data preprocessing', 'LLM', 'Open AI', 'MLOps', 'Meta LLaMA', 'synthetic data generation', 'chatbots', 'CI/CD', 'API', 'Azzure', 'Transformer architectures', 'AWS', 'Ml', 'Python']",2025-07-01 05:46:56
Data Scientist + Agentic AI,Changeleaders,9 - 14 years,20-35 Lacs P.A.,"['Hyderabad', 'Chennai', 'Bengaluru']","Design, implement, and evaluate data-driven solutions using advanced machine learning and Agentic AI frameworks.\n\nWork on LLM-based architectures, including prompt engineering, memory systems, and agent orchestration (e.g., LangChain, AutoGPT).",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Science', 'Agentic Ai', 'RAC', 'Artificial Intelligence', 'Genetics', 'LLM', 'Machine Learning']",2025-07-01 05:46:59
Machine Learning Engineer,Lodha Group,3 - 5 years,Not Disclosed,"['Mumbai', 'Mumbai Suburban']","Overview:\n\nAs Lodha is envisioning to grow from 18,000 Cr to 50,000 Cr company by 2030, our ability to understand our customers, derive insights and deploy right technology tools becomes very critical, as that would enable an agile and nimble growth for the organization. While Lodha is Indias number 1 real estate developer, it is also a pioneer in Technology domain, with BelleVie ‘Premium Lifestyle home super App’ (Digirealty Technologies Private Limited) being its 100% owned subsidiary disrupting the market with a strong team (~40) of technology experts (incl. architects, front end, backend, designers, product managers, etc.) from top start-ups/ organizations.",,,,"['Azure', 'AWS', 'Salesforce', 'ML models', 'machine learning']",2025-07-01 05:47:01
Data Scientist,Everestek Technosoft Solutions,4 - 5 years,Not Disclosed,"['Indore', 'Surat', 'Mumbai (All Areas)']","Job Title: Data Scientist\n\nLocation: Mumbai/Indore/Surat\nJob Type: Full-time\n\nAbout Us: Everestek is a forward-thinking organization specializing in designing and deploying\ncutting-edge AI solutions. From powerful recommendation engines and intuitive chatbots to\nstate-of-the-art generative AI and deep learning applications, we empower businesses to",,,,"['Python Framework', 'Natural Language Processing', 'Data Science', 'Cloud Technologies', 'SQL Database', 'Tensorflow', 'Aws Cloud', 'Ai Techniques', 'Machine Learning', 'MLOPS', 'Chatgpt', 'GCP', 'Flask']",2025-07-01 05:47:03
GenAI Engineer,AI Smart Live Solutions,0 - 1 years,"60,000-84,000 P.A.",['Visakhapatnam'],"Hiring: GenAI Engineer Intern Visakhapatnam (In-Office Only)\nWork on SenseMinds 360: AIoT + GenAI safety system.\nBuild RAG pipelines, prompt workflows, and real-time advisory models.\n6-month internship with PPO option.",Industry Type: Emerging Technologies,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Generative Ai', 'Machine Learning Algorithms', 'English', 'Telugu', 'Hindi', 'Deep Learning']",2025-07-01 05:47:05
Data Scientist,Virtana Corp,3 - 6 years,Not Disclosed,"['Pune', 'Chennai']","Position Overview:\nWe are seeking a Data Scientist Engineer with experience bringing highly scalable enterprise SaaS applications to market. This is a uniquely impactful opportunity to help drive our business forward and directly contribute to long-term growth at Virtana.\nIf you thrive in a fast-paced environment, take initiative, embrace proactivity and collaboration, and you re seeking an environment for continuous learning and improvement, we d love to hear from you!\nVirtana is a remote first work environment so you ll be able to work from the comfort of your home while collaborating with teammates on a variety of connectivity tools and technologies.\nJob Location- Pune/ Chennai/ Remote\nYou can schedule with us through Calendly at https: / / calendly.com / bimla-dhirayan / zoom-meeting-virtana\nRole Responsibilities:\nResearch and test machine learning approaches for analyzing large-scale distributed computing applications.\nImplement different models AI and ML algorithms for prototype and production systems.\nTest and refine the models and algorithms with live customer data to improve accuracy and efficacy.\nWork with other functional teams to integrate implemented systems into the SaaS platform\nSuggest innovative and creative concepts and ideas that would improve the overall platform\nQualifications:\nThe ideal candidate must have the following qualifications:\n3+ years experience in practical implementation and deployment of ML based systems preferred.\nBS/B Tech or M Tech/ MS (preferred) in Applied Mathematics or Statistics, or CS/Engineering with strong mathematical/statistical background\nStrong quantitative and analytical skills, especially statistical and ML techniques, including familiarity with different supervised and unsupervised learning algorithms\nImplementation experiences and deep knowledge of Classification, Time Series Analysis, Pattern Recognition, Reinforcement Learning, Deep Learning, Dynamic Programming and Optimization\nExperience in working on modeling graph structures related to spatiotemporal systems\nProgramming skills in Python\nExperience in developing and deploying on cloud (AWS or Google or Azure)\nExperience in understanding and usage of LLM models and Prompt engineering is preferred.\nGood verbal and written communication skills\nFamiliarity with well-known ML frameworks such as Pandas, Keras and TensorFlow",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Usage', 'Prototype', 'Time series analysis', 'Artificial Intelligence', 'IT operations management', 'Machine learning', 'Cloud', 'Cash flow', 'Pattern recognition', 'Python']",2025-07-01 05:47:07
Data Scientist,Tata Digital,3 - 8 years,Not Disclosed,['Bengaluru'],"Select with space bar to view the full contents of the job information. Data Scientist Job Details | TATA Digital\nSearch by Keyword Search by Location Select how often (in days) to receive an alert: Select how often (in days) to receive an alert: Job Description\nTata Digital is a future-ready company focused on building consumer-centric, high-engagement digital products. Our flagship offering, Tata Neu , is a super-app that integrates various consumer services, including groceries, fashion, electronics, travel, financial services, and more, into a seamless experience. As a wholly owned subsidiary of Tata Sons Private Limited , we are committed to driving digital transformation at scale.\nRole Details\nRole Title: Data Scientist / Machine Learning Engineer\nAbout the Role:\nWe are looking for an experienced Data Scientist / Machine Learning Engineer to join our team and help drive innovation in search, recommendation, and ads. You will be responsible for designing, building, and optimizing ML models that enhance user experience and business outcomes at scale. If you have a strong background in developing scalable ML solutions within a product-driven company, we want to hear from you.\nKey Responsibilities:\nDevelop and optimize ML models for search ranking, recommendations, and ad targeting to improve engagement and monetization.\nDesign, implement, and deploy large-scale ML pipelines in production environments.\nExperiment with and improve deep learning, NLP, for personalization and relevance.\nConduct A/B testing and data-driven evaluations to measure the impact of ML models.\nOptimize infrastructure and data processing for high-scale real-time and batch ML systems.\nStay up to date with advancements in ML, AI, and big data technologies and apply them to business problems.\nMinimum Qualifications:\n3+ years of experience in Data Science / Machine Learning Engineering, with a focus on search, recommendation systems, or advertising.\nStrong programming skills in Python, Scala, or Java with experience in ML frameworks like TensorFlow, PyTorch, or Scikit-learn\nExperience with big data technologies (e.g., Spark, Hadoop, Kafka) and distributed computing.\nProficiency in SQL and NoSQL databases for large-scale data processing.\nHands-on experience in deploying ML models in production at scale (MLOps, CI/CD for ML).\nStrong understanding of ranking models, deep learning, NLP, and reinforcement learning.\nPreferred Qualifications:\nFamiliarity with vector search, embeddings, and retrieval-based models.\nStrong problem-solving skills and ability to work in a fast-paced environment\nExperience with cloud platforms like AWS, GCP, or Azure",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['deep learning', 'NoSQL', 'GCP', 'Machine learning', 'SCALA', 'Data processing', 'big data', 'Financial services', 'SQL', 'Python']",2025-07-01 05:47:10
