key,job_role,job_title,company_name,skills,job_type,location,experience
1,data engineer,lead data engineer- pyspark - hyderabad,salesforce,"airflow,dbt,snowflake,ci/cd,github",full time,hyderabad,8
2,data engineer,azure data engineer with databricks and pyspark,birlasoft limited,,full time,"mumbai,pune",9
3,data engineer,,,,,,-1
4,data engineer,,,,,,-1
5,data engineer,,,,,,-1
6,data engineer,,,,,,-1
7,data engineer,,,,,,-1
8,data engineer,,,,,,-1
9,data engineer,,,,,,-1
10,data engineer,,,,,,-1
11,data engineer,,,,,,-1
12,data engineer,,,,,,-1
13,data engineer,,,,,,-1
14,data engineer,,,,,,-1
15,data engineer,,,,,,-1
16,data analyst,lead consultant-regulatory data analyst,genpact,"data analysis,ms office tools,problem solving",full time,hyderabad,1
17,data analyst,"senior, data analyst",walmart,"r,ms excel,power bi,tableau,sql,python",full time,bengaluru,4
18,data analyst,,,,,,-1
19,data analyst,,,,,,-1
20,data analyst,,,,,,-1
21,data analyst,,,,,,-1
22,data analyst,,,,,,-1
23,data analyst,,,,,,-1
24,data analyst,,,,,,-1
25,data analyst,,,,,,-1
26,data analyst,,,,,,-1
27,data analyst,,,,,,-1
28,data analyst,,,,,,-1
29,data analyst,,,,,,-1
30,data analyst,,,,,,-1
31,data architect,senior big data architect,nissan motor corporation,"aurora,snowflake,nifi,hdfs,cloud data platforms",full time,thiruvananthapuram,14
32,data architect,data architect,coforge,"apac,efforts estimation,proposal creation",full time,,11
33,data architect,,,,,,-1
34,data architect,,,,,,-1
35,data architect,,,,,,-1
36,data architect,,,,,,-1
37,data architect,,,,,,-1
38,data architect,,,,,,-1
39,data architect,,,,,,-1
40,data architect,,,,,,-1
41,data architect,,,,,,-1
42,data architect,,,,,,-1
43,data architect,,,,,,-1
44,data architect,,,,,,-1
45,data architect,,,,,,-1
46,data scientist,"(ind) senior, data scientist",walmart global tech india,"spark mllib,ml,distributed computing,scalability",full time,bengaluru,3
47,data scientist,data scientist,ericsson,"r,supervised learning,reinforcement learning",full time,chennai,4
48,data scientist,,,,,,-1
49,data scientist,,,,,,-1
50,data scientist,,,,,,-1
51,data scientist,,,,,,-1
52,data scientist,,,,,,-1
53,data scientist,,,,,,-1
54,data scientist,,,,,,-1
55,data scientist,,,,,,-1
56,data scientist,,,,,,-1
57,data scientist,,,,,,-1
58,data scientist,,,,,,-1
59,data scientist,,,,,,-1
60,data scientist,,,,,,-1
61,machine learning engineer,senior machine learning engineer,tata technologies,"ml engineer,lakehouse monitoring,aws stack",full time,bengaluru,5
62,machine learning engineer,"expert senior manager, machine learning engineer, apac",bain & company,"ray,marketing analytics,dask,linear algebra",full time,bengaluru,6
63,machine learning engineer,,,,,,-1
64,machine learning engineer,,,,,,-1
65,machine learning engineer,,,,,,-1
66,machine learning engineer,,,,,,-1
67,machine learning engineer,,,,,,-1
68,machine learning engineer,,,,,,-1
69,machine learning engineer,,,,,,-1
70,machine learning engineer,,,,,,-1
71,machine learning engineer,,,,,,-1
72,machine learning engineer,,,,,,-1
73,machine learning engineer,,,,,,-1
74,machine learning engineer,,,,,,-1
75,machine learning engineer,,,,,,-1
