key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
2,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"""GCP"",Python,Sql,Cloud Computing",Full time,Mumbai,3-8 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
4,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,Mumbai,5-10 Years
5,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
6,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,Mumbai,15-20 Years
7,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
8,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,Mumbai,5-10 Years
9,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",15-20 Years
10,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Bengaluru / Bangalore, Pune",15-20 Years
11,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"Ab Initio GDE,Ab Initio,Abinitio",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
12,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"Business Intelligence,OBIEE,Data Warehouse",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
13,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,Gurgaon / Gurugram,7-10 Years
14,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
15,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Chennai, Pune",7-10 Years
16,Data Engineer,Global IT Data Engineer Expert Senior Manager,Boston Consulting Group,"Oracle,Sql,MySQL,Python,Powershell",Full time,"Delhi, India",3-5 Years
17,Data Engineer,Data Engineer,Ericsson,"Elasticsearch,Kibana,Pandas,MLops,Numpy",Full time,"Bengaluru / Bangalore, India",4-6 Years
18,Data Engineer,Senior Data Engineer,Myntra,"Java,python,Kafka,Spark,Aerospike",Full time,"Bengaluru / Bangalore, India",4-6 Years
19,Data Engineer,Big Data Engineer - Lead,HARMAN International,"database schema design,reusable code/component",Full time,"Bengaluru / Bangalore, India",5-7 Years
20,Data Engineer,AWS DATA ENGINEER,TE Connectivity,"Sql,Etl,Aws Services,Aws Redshift,Oracle",Full time,"Bengaluru / Bangalore, India",3-5 Years
21,Data Engineer,Data Engineer,Brillio,"Spark MLlib,Spark Batch,Flink,Java,Spark SQL",Full time,"Bengaluru / Bangalore, India",4-6 Years
